word1,word2,n,decade
NA,NA,339,1950s
civil,rights,20,1950s
pearl,river,18,1950s
white,woman,16,1950s
charles,parker,13,1950s
mack,charles,12,1950s
mack,parker,12,1950s
grand,jury,10,1950s
page,2,10,1950s
alleged,rape,9,1950s
jail,cell,9,1950s
april,25,8,1950s
lynch,mob,7,1950s
page,1,7,1950s
poplarville,miss,7,1950s
police,chief,6,1950s
county,jail,5,1950s
lynch,law,5,1950s
negro,women,5,1950s
public,schools,5,1950s
supreme,court,5,1950s
unguarded,jail,5,1950s
anti,lynch,4,1950s
baptist,church,4,1950s
eliza,parker,4,1950s
fbi,agents,4,1950s
judge,whaley,4,1950s
miss,upi,4,1950s
parker's,body,4,1950s
rape,charge,4,1950s
rights,bill,4,1950s
rights,legislation,4,1950s
river,county,4,1950s
south,carolina,4,1950s
united,press,4,1950s
anti,lynching,3,1950s
bogalusa,la,3,1950s
brutally,beaten,3,1950s
circuit,judge,3,1950s
cliff,sessions,3,1950s
colored,people,3,1950s
death,penalty,3,1950s
eddie,diggs,3,1950s
elder,lee,3,1950s
emmett,louis,3,1950s
executive,secretary,3,1950s
farm,house,3,1950s
federal,troops,3,1950s
front,page,3,1950s
funeral,home,3,1950s
jackson,miss,3,1950s
james,lee,3,1950s
jeff,lee,3,1950s
justice,department,3,1950s
lumberton,miss,3,1950s
lynch,victim,3,1950s
mississippi,gov,3,1950s
mississippi,mob,3,1950s
mob,action,3,1950s
mob,violence,3,1950s
negro,people,3,1950s
parker,23,3,1950s
parker,lynching,3,1950s
parker,parker,3,1950s
parker's,mother,3,1950s
personal,security,3,1950s
president,eisenhower,3,1950s
rev,james,3,1950s
school,board,3,1950s
told,officers,3,1950s
vice,presi,3,1950s
weeks,ago,3,1950s
white,mother,3,1950s
woman's,story,3,1950s
york,city,3,1950s
1,30,2,1950s
1,a.m,2,1950s
1,william,2,1950s
10,harold,2,1950s
11,roman,2,1950s
12,charles,2,1950s
13,marguerite,2,1950s
14,elmer,2,1950s
18,robert,2,1950s
1950,lynching,2,1950s
2,barratt,2,1950s
20,miles,2,1950s
21,peter,2,1950s
23,george,2,1950s
24,melvin,2,1950s
25,kenneth,2,1950s
5,john,2,1950s
50th,anniversary,2,1950s
8,dan,2,1950s
agents,found,2,1950s
apparently,missed,2,1950s
archaic,customs,2,1950s
art,peters,2,1950s
baptist,minister,2,1950s
board,fell,2,1950s
branded,hoax,2,1950s
brooklyn,dodgers,2,1950s
brutal,lynching,2,1950s
brutally,assaulted,2,1950s
carter,jewel,2,1950s
checks,clues,2,1950s
chicago,naacp,2,1950s
chief,marvin,2,1950s
circulating,petitions,2,1950s
clip,sign,2,1950s
colored,paper,2,1950s
corner,rally,2,1950s
coroner's,jury,2,1950s
crip,reyer,2,1950s
dan,rostenkowski,2,1950s
day,visit,2,1950s
death,mack,2,1950s
deep,south,2,1950s
defender,photographer,2,1950s
department,jurisdiction,2,1950s
discovered,floating,2,1950s
disorderly,conduct,2,1950s
disturbing,threat,2,1950s
dr,john,2,1950s
dragged,screaming,2,1950s
ed,rape,2,1950s
edna,sid,2,1950s
emmett,till,2,1950s
empty,cell,2,1950s
enhance,justice,2,1950s
family,reveals,2,1950s
fbi,refused,2,1950s
fbi,report,2,1950s
fbi,told,2,1950s
fear,lynching,2,1950s
feb,24,2,1950s
federal,agents,2,1950s
federal,anti,2,1950s
federal,civil,2,1950s
federal,law,2,1950s
filling,station,2,1950s
flag,draped,2,1950s
freedom,loving,2,1950s
funeral,reporters,2,1950s
garage,mechanic,2,1950s
generations,unborn,2,1950s
gov,coleman,2,1950s
graveside,rites,2,1950s
guilty,persons,2,1950s
half,examining,2,1950s
happen,poplarville,2,1950s
heard,agents,2,1950s
huge,audience,2,1950s
human,pigmentation,2,1950s
human,rights,2,1950s
illinois,representatives,2,1950s
