word1,word2,n,decade
NA,NA,1775,1940s
grand,jury,65,1940s
civil,rights,42,1940s
page,1,31,1940s
supreme,court,31,1940s
south,carolina,28,1940s
white,woman,27,1940s
anti,lynching,26,1940s
mob,violence,25,1940s
walton,county,23,1940s
federal,government,22,1940s
poll,tax,22,1940s
july,25,17,1940s
lynching,bill,17,1940s
monroe,ga,17,1940s
tom,clark,17,1940s
anti,lynch,15,1940s
jim,crow,15,1940s
ku,klux,14,1940s
lynch,law,14,1940s
negro,citizens,14,1940s
negro,youth,14,1940s
white,supremacy,14,1940s
federal,grand,13,1940s
human,rights,13,1940s
loy,harrison,13,1940s
negro,people,13,1940s
klux,klan,12,1940s
civil,liberties,11,1940s
county,jail,11,1940s
deputy,sheriff,11,1940s
district,attorney,11,1940s
ellis,arnall,11,1940s
federal,anti,11,1940s
federal,bureau,11,1940s
georgia,bureau,11,1940s
law,enforcement,11,1940s
monroe,georgia,11,1940s
weeks,ago,11,1940s
york,city,11,1940s
baptist,church,10,1940s
fbi,agents,10,1940s
federal,action,10,1940s
negro,congress,10,1940s
north,carolina,10,1940s
st,louis,10,1940s
albert,harris,9,1940s
camp,ellis,9,1940s
colored,people,9,1940s
county,sheriff,9,1940s
defense,counsel,9,1940s
district,court,9,1940s
habeas,corpus,9,1940s
lynch,mob,9,1940s
national,negro,9,1940s
recent,lynching,9,1940s
roger,malcolm,9,1940s
white,house,9,1940s
world,war,9,1940s
anti,poll,8,1940s
circuit,court,8,1940s
county,georgia,8,1940s
herald,tribune,8,1940s
legal,lynching,8,1940s
lynch,victims,8,1940s
methodist,church,8,1940s
mob,lynched,8,1940s
negro,veterans,8,1940s
page,2,8,1940s
page,4,8,1940s
page,6,8,1940s
president,truman,8,1940s
race,riot,8,1940s
tax,bill,8,1940s
white,people,8,1940s
american,people,7,1940s
atlanta,daily,7,1940s
caleb,hill,7,1940s
cold,blood,7,1940s
county,grand,7,1940s
death,penalty,7,1940s
enforcement,officers,7,1940s
georgia,july,7,1940s
governor,ellis,7,1940s
lawless,element,7,1940s
major,spence,7,1940s
national,office,7,1940s
negro,press,7,1940s
negro,soldier,7,1940s
negro,soldiers,7,1940s
negro,veteran,7,1940s
negro,war,7,1940s
nnpa,news,7,1940s
oconee,county,7,1940s
pickens,county,7,1940s
prosecuting,attorney,7,1940s
robert,mallard,7,1940s
san,francisco,7,1940s
sikeston,mo,7,1940s
white,citizens,7,1940s
6,col,6,1940s
amy,mallard,6,1940s
blow,torch,6,1940s
brutal,lynching,6,1940s
colored,women,6,1940s
electric,chair,6,1940s
eye,witness,6,1940s
federal,court,6,1940s
federal,govern,6,1940s
found,guilty,6,1940s
guilty,parties,6,1940s
harris,jr,6,1940s
international,bill,6,1940s
jesse,james,6,1940s
judge,davis,6,1940s
jury,acquitted,6,1940s
lynch,terror,6,1940s
national,association,6,1940s
negro,population,6,1940s
negro,witnesses,6,1940s
news,service,6,1940s
public,opinion,6,1940s
race,relations,6,1940s
united,nations,6,1940s
webster,parish,6,1940s
