word1,word2,n,decade
editor,editor,2,post1960
editor,george,2,post1960
eichmann,trial,2,post1960
elijah,lovejoy,2,post1960
emancipation,lynching,2,post1960
embarrassing,moral,2,post1960
encouraging,blacks,2,post1960
entire,white,2,post1960
epidemic,claimed,2,post1960
european,countries,2,post1960
executive,secretary,2,post1960
fame,increased,2,post1960
fbi,report,2,post1960
federal,government,2,post1960
feel,free,2,post1960
fever,epidemic,2,post1960
freddie,lee,2,post1960
free,press,2,post1960
freedom,riders,2,post1960
frees,2,2,post1960
frontier,days,2,post1960
fund,housing,2,post1960
gen,daniel,2,post1960
gen,william,2,post1960
georgia,1986,2,post1960
goodwill,prevail,2,post1960
grant,houses,2,post1960
grass,roots,2,post1960
harlem,renaissance,2,post1960
harper's,ferry,2,post1960
headlight,baptist,2,post1960
heritage,ida,2,post1960
holly,springs,2,post1960
horrific,chapters,2,post1960
human,rights,2,post1960
human,sympathy,2,post1960
including,rust,2,post1960
inferior,breed,2,post1960
interracial,marri,2,post1960
interracial,marriages,2,post1960
jackie,robinson,2,post1960
john,grimball,2,post1960
judge,frees,2,post1960
judge,john,2,post1960
judiciary,committee,2,post1960
jury,empanelled,2,post1960
jury,indictment,2,post1960
jury,probes,2,post1960
l.p,watson,2,post1960
leave,memphis,2,post1960
lee,jackson,2,post1960
legal,lynching,2,post1960
lerone,bennett,2,post1960
leroy,vaughn,2,post1960
letter,signed,2,post1960
liberal,politicians,2,post1960
liberties,organization,2,post1960
lina,georgia,2,post1960
local,church,2,post1960
local,leaders,2,post1960
luther,king,2,post1960
lynch,probe,2,post1960
lynch,suspects,2,post1960
lynching,legislation,2,post1960
lynching,move,2,post1960
lynching,movement,2,post1960
lynchings,affect,2,post1960
male,victims,2,post1960
man's,plantation,2,post1960
manning,marable,2,post1960
march,1964,2,post1960
mario,cuomo,2,post1960
mary,mcleod,2,post1960
matthews,matthews,2,post1960
mayor,koch,2,post1960
mays,benjamin,2,post1960
memphis,started,2,post1960
memphis,tenn,2,post1960
michael,griffith,2,post1960
militant,uncompro,2,post1960
million,jews,2,post1960
minded,crusade,2,post1960
minority,report,2,post1960
mising,single,2,post1960
miss,anp,2,post1960
miss,jail,2,post1960
