word1,word2,n,decade
26,harry,1,pre1900
261,263,1,pre1900
2nd,st,1,pre1900
2nd,thursday,1,pre1900
3,1873,1,pre1900
3,30,1,pre1900
3,bottles,1,pre1900
30,citizens,1,pre1900
300,foerving,1,pre1900
31st,1895,1,pre1900
31st,doc,1,pre1900
361,brondway,1,pre1900
3rd,mon,1,pre1900
3rd,monday,1,pre1900
3solomon,marable,1,pre1900
4,00,1,pre1900
422,east,1,pre1900
47th,street,1,pre1900
4mary,abernathy,1,pre1900
4th,day,1,pre1900
4th,friday,1,pre1900
4th,sunday,1,pre1900
4th,wednesday,1,pre1900
5,1,1,pre1900
5,30,1,pre1900
5,cents,1,pre1900
5,families,1,pre1900
5,thomas,1,pre1900
5,willie,1,pre1900
"5,000",bail,1,pre1900
50,"000,000",1,pre1900
56,cent,1,pre1900
5mary,abernathy,1,pre1900
6,1875,1,pre1900
6,20,1,pre1900
6,30,1,pre1900
6,40,1,pre1900
6,53,1,pre1900
6,94,1,pre1900
60,enthusiastic,1,pre1900
6000,majority,1,pre1900
610,queen,1,pre1900
66,broadway,1,pre1900
6mary,barnes,1,pre1900
7,24,1,pre1900
7,o'clock,1,pre1900
70,tons,1,pre1900
728,n.secondst,1,pre1900
74,3rd,1,pre1900
75,2nd,1,pre1900
7th,1895,1,pre1900
7th,telephone,1,pre1900
8,30,1,pre1900
8,40,1,pre1900
8,sharp,1,pre1900
8th,ave,1,pre1900
8th,st,1,pre1900
8the,jail,1,pre1900
9,30,1,pre1900
9.19,3mos,1,pre1900
9the,courthouse,1,pre1900
a.g.mckay,pri,1,pre1900
a.m,daily,1,pre1900
aa,janitor,1,pre1900
aaron,marz,1,pre1900
abandoned,character,1,pre1900
abel,ludenberg,1,pre1900
abel,sylvin,1,pre1900
abernathy,babe,1,pre1900
abiding,people,1,pre1900
abled,bodied,1,pre1900
ablest,educators,1,pre1900
abroad,unchecked,1,pre1900
absence,john,1,pre1900
absolute,contempt,1,pre1900
absolute,rule,1,pre1900
absolute,securi,1,pre1900
accompanied,money,1,pre1900
accompany,resolutions,1,pre1900
account,leapheart,1,pre1900
accused,awaiting,1,pre1900
