"","X","file_id","newspaper_name","lynch_address","date","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","url","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Newspaper_Region2"
"906",1297,14324,"New Britain herald ","Ottawa, OH","8/31/1916","New Britain, Connecticut",-72.77954,41.66121,"New Britain","CT",1916,"seq-1","https://articleextractor.org/pages/14324/ct_kinks_ver01/sn82014519/1916/08/31/ed-1/seq-1/1","Ottawa","OH","sn82014519",-84.047167,41.019219,586,"N","1910s","Connecticut","Northeast","North"
"907",1299,14327,"Waterbury Democrat ","Helena, MT","10/2/1901","Waterbury , Connecticut",-73.0515,41.558152,"Waterbury ","CT",1901,"seq-1","https://articleextractor.org/pages/14327/ct_ironwood_ver01/sn93053725/1901/10/02/ed-1/seq-1/1","Helena","MT","sn93053725",-112.039106,46.589145,1948,"N","1900s","Connecticut","Northeast","North"
"908",1301,14328,"Waterbury evening Democrat ","Joplin, MO","4/16/1903","Waterbury , Connecticut",-73.0515,41.558152,"Waterbury ","CT",1903,"seq-3","https://articleextractor.org/pages/14328/ct_ironwood_ver01/sn93053726/1903/04/16/ed-1/seq-3/2","Joplin","MO","sn93053726",-94.513281,37.084227,1186,"N","1900s","Connecticut","Northeast","North"
"909",1302,14330,"The San Francisco call ","Bel Air, MD","3/27/1900","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1900,"seq-9","https://articleextractor.org/pages/14330/curiv_albion_ver01/sn85066387/1900/03/27/ed-1/seq-9/1","Bel Air","MD","sn85066387",-76.348293,39.535941,2464,"N","1900s","California","West","North"
"910",1303,14335,"The San Francisco call ","Carrollton, IL","3/2/1901","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1901,"seq-9","https://articleextractor.org/pages/14335/curiv_brea_ver01/sn85066387/1901/03/02/ed-1/seq-9/2","Carrollton","IL","sn85066387",-90.407063,39.302269,1726,"N","1900s","California","West","North"
"911",1304,14336,"The San Francisco call ","Corsicana, TX","3/14/1901","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1901,"seq-3","https://articleextractor.org/pages/14336/curiv_brea_ver01/sn85066387/1901/03/14/ed-1/seq-3/1","Corsicana","TX","sn85066387",-96.468873,32.09543,1518,"N","1900s","California","West","North"
"912",1305,14337,"The San Francisco call ","Henderson, TX","10/8/1903","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1903,"seq-3","https://articleextractor.org/pages/14337/curiv_etna_ver01/sn85066387/1903/10/08/ed-1/seq-3/1","Henderson","TX","sn85066387",-94.79938,32.153216,1607,"N","1900s","California","West","North"
"913",1307,14338,"The record-union ","Bryan, TX","11/19/1897","Sacramento, California",-121.4944,38.581572,"Sacramento","CA",1897,"seq-1","https://articleextractor.org/pages/14338/curiv_firebaugh_ver01/sn82015104/1897/11/19/ed-1/seq-1/1","Bryan","TX","sn82015104",-96.369963,30.674364,1525,"N","1890s","California","West","North"
"914",1308,14342,"The San Francisco call ","Charles City, IA","1/10/1907","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1907,"seq-7","https://articleextractor.org/pages/14342/curiv_hercules_ver01/sn85066387/1907/01/10/ed-1/seq-7/1","Charles City","IA","sn85066387",-92.672411,43.066361,1600,"N","1900s","California","West","North"
"915",1309,14345,"The San Francisco call ","Magnolia, AL","12/21/1909","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1909,"seq-4","https://articleextractor.org/pages/14345/curiv_jenner_ver01/sn85066387/1909/12/21/ed-1/seq-4/1","Magnolia","AL","sn85066387",-87.668061,32.135702,1996,"N","1900s","California","West","North"
