"","X","file_id","newspaper_name","lynch_address","date","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","url","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Newspaper_Region2"
"1",1,8126,"The Houston daily post ","Abbeyville, AL","8/25/1897","Houston, Texas",-95.3698,29.760427,"Houston","TX",1897,"seq-5","https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Abbeyville","AL","sn86071197",-85.250489,31.571835,615,"N","1890s","Texas","South","South"
"2",3,8127,"Evening journal ","Pinehurst, GA","6/25/1912","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1912,"seq-7","https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1","Pinehurst","GA","sn85042354",-83.762953,32.195997,695,"N","1910s","Delaware","South","Border"
"3",5,8129,NA,"Frederick, MD","2/7/1896","NA, Maryland",-76.64127,39.045755,NA,"MD",1896,"seq-6","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Frederick","MD","sn89060092",-77.410541,39.414269,48,"Y","1890s","Maryland","South","Border"
"4",6,8129,NA,"Fredrick, MD","2/7/1896","NA, Maryland",-76.64127,39.045755,NA,"MD",1896,"seq-6","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Fredrick","MD","sn89060092",-77.410541,39.414269,48,"Y","1890s","Maryland","South","Border"
"5",7,8137,"Ladysmith news-budget ","Cornelia, GA","3/7/1913","Ladysmith, Wisconsin",-91.10404,45.463023,"Ladysmith","WI",1913,"seq-6","https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1","Cornelia","GA","sn85040245",-83.527117,34.511488,856,"N","1910s","Wisconsin","North Central","North"
"6",8,8149,"The Salt Lake herald ","Brook Haven, MI","1/3/1908","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT",1908,"seq-2","https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1","Brook Haven","MI","sn85058130",-85.602364,44.314844,1356,"N","1900s","Utah","West","Misc"
"7",9,8153,"The Waco evening news ","Roanoke, VA","9/21/1893","Waco, Texas",-97.14667,31.549333,"Waco","TX",1893,"seq-3","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Roanoke","VA","sn86088201",-79.941427,37.27097,1057,"N","1890s","Texas","South","South"
"8",11,8155,"The Hope pioneer ","Dallas, TX","8/4/1893","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Dallas","TX","sn87096037",-96.796988,32.776664,1007,"N","1890s","North Dakota","North Central","Misc"
"9",12,8155,"The Hope pioneer ","Gaston, SC","8/4/1893","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Gaston","SC","sn87096037",-81.100929,33.817097,1273,"N","1890s","North Dakota","North Central","Misc"
"10",13,8155,"The Hope pioneer ","Roanoke, VA","8/4/1893","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Roanoke","VA","sn87096037",-79.941427,37.27097,1140,"N","1890s","North Dakota","North Central","Misc"
"11",23,8173,NA,"Downtown Omaha, NE","10/10/1891","NA, Nebraska",-99.90181,41.492537,NA,"NE",1891,"seq-1","https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1","Downtown Omaha","NE","sn99021999",-95.937129,41.26372,206,"Y","1890s","Nebraska","North Central","Misc"
"12",24,8176,"Waterbury evening Democrat ","Covington, LA","10/30/1891","Waterbury, Connecticut",-73.0515,41.558152,"Waterbury","CT",1891,"seq-1","https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1","Covington","LA","sn94053256",-90.100911,30.47547,1220,"N","1890s","Connecticut","Northeast","North"
"13",25,8180,"The Hope pioneer ","New Monroeville, AL","11/4/1892","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1892,"seq-2","https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1","New Monroeville","AL","sn87096037",-87.324708,31.52794,1223,"N","1890s","North Dakota","North Central","Misc"
"14",26,8181,"St. Paul daily globe ","Marianna, AK","10/4/1891","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN",1891,"seq-1","https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1","Marianna","AK","sn90059522",-90.772254,34.77462,715,"N","1890s","Minnesota","North Central","North"
"15",27,8183,"The Grenada sentinel ","Morgantown, NC","9/21/1889","Grenada, Mississippi",-89.80842,33.769005,"Grenada","MS",1889,"seq-2","https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1","Morgantown","NC","sn85034375",-81.684819,35.745407,481,"N","1880s","Mississippi","South","South"
"16",28,8186,"The enterprise ","Roanoke, VA","9/27/1893","Wellington, Ohio",-82.21793,41.168942,"Wellington","OH",1893,"seq-6","https://articleextractor.org/pages/8186/ohi_cousteau_ver02/sn84028272/1893/09/27/ed-1/seq-6/1","Roanoke","VA","sn84028272",-79.941427,37.27097,296,"N","1890s","Ohio","North Central","North"
"17",29,8187,"Arizona republican ","Shreveport, LA","1/15/1892","Phoenix, Arizona",-112.07404,33.448377,"Phoenix","AZ",1892,"seq-5","https://articleextractor.org/pages/8187/az_coyote_ver01/sn84020558/1892/01/15/ed-1/seq-5/1","Shreveport","LA","sn84020558",-93.750179,32.525152,1064,"N","1890s","Arizona","West","Misc"
"18",30,8188,"The intelligencer ","Lafayette County, KY","9/6/1890","Lexington, Missouri",-93.87994,39.184734,"Lexington","MO",1890,"seq-3","https://articleextractor.org/pages/8188/mohi_eeyore_ver01/sn93060412/1890/09/06/ed-1/seq-3/1","Lafayette County","KY","sn93060412",-87.658385,36.659303,382,"N","1890s","Missouri","North Central","Border"
"19",31,8189,NA,"Brenham, TX","2/3/1887","NA, Texas",-99.90181,31.968599,NA,"TX",1887,"seq-6","https://articleextractor.org/pages/8189/txdn_echo_ver03/sn86064205/1887/02/03/ed-1/seq-6/1","Brenham","TX","sn86064205",-96.397744,30.166883,242,"Y","1880s","Texas","South","South"
"20",32,8190,"The Topeka state journal ","Not specified, MI","9/3/1910","Topeka, Kansas",-95.67516,39.047345,"Topeka","KS",1910,"seq-12","https://articleextractor.org/pages/8190/khi_edelbrock_ver01/sn82016014/1910/09/03/ed-1/seq-12/1","Not specified","MI","sn82016014",NA,NA,NA,"N","1910s","Kansas","North Central","North"
"21",33,8191,"St. Paul daily globe ","Louisville, KY","8/29/1893","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN",1893,"seq-4","https://articleextractor.org/pages/8191/mnhi_gonvick_ver01/sn90059522/1893/08/29/ed-1/seq-4/1","Louisville","KY","sn90059522",-85.758456,38.252665,598,"N","1890s","Minnesota","North Central","North"
"22",34,8192,"The Salt Lake herald ","Atlanta, GA","7/28/1887","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT",1887,"seq-1","https://articleextractor.org/pages/8192/uuml_griffith_ver01/sn85058130/1887/07/28/ed-1/seq-1/1","Atlanta","GA","sn85058130",-84.387684,33.748752,1582,"N","1880s","Utah","West","Misc"
"23",36,8194,NA,"Roane County, WV","11/17/1887","NA, South Dakota",-99.90181,43.969515,NA,"SD",1887,"seq-2","https://articleextractor.org/pages/8194/sdhi_imbe_ver01/sn98062948/1887/11/17/ed-1/seq-2/1","Roane County","WV","sn98062948",-81.427898,38.756488,1022,"N","1880s","South Dakota","North Central","Misc"
"24",38,8197,"The Russellville Democrat ","Varner, Lincoln County, AR","11/30/1893","Russellville, Arkansas",-93.1337,35.278116,"Russellville","AR",1893,"seq-2","https://articleextractor.org/pages/8197/arhi_igglybuff_ver01/sn84023017/1893/11/30/ed-1/seq-2/1","Varner, Lincoln County","AR","sn84023017",-91.61889,34.03833,122,"Y","1890s","Arkansas","South","South"
"25",39,8200,"Tensas gazette ","Birmingham, AL","4/30/1909","St. Joseph, Louisiana",-91.23349,31.918368,"St. Joseph","LA",1909,"seq-4","https://articleextractor.org/pages/8200/lu_roulette_ver01/sn87090131/1909/04/30/ed-1/seq-4/1","Birmingham","AL","sn87090131",-86.810357,33.518589,280,"N","1900s","Louisiana","South","South"
"26",40,8201,"The News-Herald ","Atlanta, GA","2/10/1887","Hillsboro, Ohio",-83.61159,39.202287,"Hillsboro","OH",1887,"seq-2","https://articleextractor.org/pages/8201/ohi_india_ver01/sn85038161/1887/02/10/ed-1/seq-2/1","Atlanta","GA","sn85038161",-84.387684,33.748752,380,"N","1880s","Ohio","North Central","North"
"27",41,8202,"The Emporia weekly news ","Gainsville, TX","7/2/1885","Emporia, Kansas",-96.18166,38.403903,"Emporia","KS",1885,"seq-1","https://articleextractor.org/pages/8202/khi_brown_ver01/sn85030221/1885/07/02/ed-1/seq-1/1","Gainsville","TX","sn85030221",-97.133345,33.625941,335,"N","1880s","Kansas","North Central","North"
"28",42,8204,"The Cheyenne daily leader ","Woodlawn Mills, Nashville, TN","10/28/1888","Cheyenne, Wyoming",-104.82025,41.139981,"Cheyenne","WY",1888,"seq-1","https://articleextractor.org/pages/8204/wyu_calpet_ver02/sn86072173/1888/10/28/ed-1/seq-1/2","Woodlawn Mills, Nashville","TN","sn86072173",-86.781602,36.162664,1031,"N","1880s","Wyoming","West","Misc"
"29",43,8213,"The Brookhaven leader ","Natchez, MI","6/21/1888","Brookhaven, Mississippi",-90.44065,31.579059,"Brookhaven","MS",1888,"seq-2","https://articleextractor.org/pages/8213/msar_agate_ver01/sn86074058/1888/06/21/ed-1/seq-2/3","Natchez","MI","sn86074058",-91.403171,31.560444,57,"N","1880s","Mississippi","South","South"
"30",44,8220,"The Indianapolis journal ","New Iberia, LA","7/22/1897","Indianapolis , Indiana",-86.15807,39.768403,"Indianapolis ","IN",1897,"seq-5","https://articleextractor.org/pages/8220/in_bradlaugh_ver02/sn82015679/1897/07/22/ed-1/seq-5/2","New Iberia","LA","sn82015679",-91.818728,30.003536,747,"N","1890s","Indiana","North Central","North"
"31",45,8222,"Los Angeles herald ","Dalton, GA","11/1/1890","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1890,"seq-2","https://articleextractor.org/pages/8222/curiv_lovelock_ver01/sn84025968/1890/11/01/ed-1/seq-2/2","Dalton","GA","sn84025968",-84.970223,34.769802,1891,"N","1890s","California","West","North"
"32",46,8237,NA,"Bowling Green, KY","2/12/1897","NA, Nebraska",-99.90181,41.492537,NA,"NE",1897,"seq-6","https://articleextractor.org/pages/8237/nbu_indianola_ver01/sn94056415/1897/02/12/ed-1/seq-6/2","Bowling Green","KY","sn94056415",-86.480804,36.968522,783,"N","1890s","Nebraska","North Central","Misc"
"33",47,8240,"Los Angeles herald ","Charleston, MO","7/4/1910","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1910,"seq-1","https://articleextractor.org/pages/8240/curiv_rubidoux_ver01/sn85042462/1910/07/04/ed-1/seq-1/1","Charleston","MO","sn85042462",-89.350631,36.920885,1633,"N","1910s","California","West","North"
"34",48,8241,"Semi-weekly interior journal ","Steelville, MO","10/8/1886","Stanford, Kentucky",-84.66189,37.53119,"Stanford","KY",1886,"seq-2","https://articleextractor.org/pages/8241/kyu_hairspray_ver01/sn85052020/1886/10/08/ed-1/seq-2/1","Steelville","MO","sn85052020",-91.354868,37.9681,367,"N","1880s","Kentucky","South","Border"
"35",49,8242,NA,"Frankfort, KY","6/4/1909","NA, Georgia",-82.90712,32.157435,NA,"GA",1909,"seq-1","https://articleextractor.org/pages/8242/gu_graco_ver01/sn86090947/1909/06/04/ed-1/seq-1/1","Frankfort","KY","sn86090947",-84.873284,38.200905,433,"N","1900s","Georgia","South","South"
"36",50,8245,"The Wichita daily eagle ","Poplar Bluff, MO","9/4/1890","Wichita, Kansas",-97.33005,37.687176,"Wichita","KS",1890,"seq-2","https://articleextractor.org/pages/8245/khi_ingalls_ver02/sn82014635/1890/09/04/ed-1/seq-2/1","Poplar Bluff","MO","sn82014635",-90.392888,36.756999,387,"N","1890s","Kansas","North Central","North"
"37",52,8248,"River Falls journal ","Yazoo, MI","1/3/1884","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1884,"seq-2","https://articleextractor.org/pages/8248/whi_galky_ver01/sn85033255/1884/01/03/ed-1/seq-2/1","Yazoo","MI","sn85033255",-85.602364,44.314844,348,"N","1880s","Wisconsin","North Central","North"
"38",55,8250,"The Forrest City times ","Little Rock, AR","5/20/1892","Forrest City, Arkansas",-90.78523,35.009258,"Forrest City","AR",1892,"seq-1","https://articleextractor.org/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/1","Little Rock","AR","sn84022960",-92.288016,34.744462,87,"Y","1890s","Arkansas","South","South"
"39",57,8252,"The Birmingham age-herald ","Charleston, MO","7/5/1910","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1910,"seq-1","https://articleextractor.org/pages/8252/au_gaston_ver01/sn85038485/1910/07/05/ed-1/seq-1/1","Charleston","MO","sn85038485",-89.350631,36.920885,276,"N","1910s","Alabama","South","South"
"40",62,8253,"The Magnolia gazette ","M'Comb City, MI","6/25/1892","Magnolia, Mississippi",-90.45871,31.143233,"Magnolia","MS",1892,"seq-3","https://articleextractor.org/pages/8253/msar_ikat_ver01/sn85034447/1892/06/25/ed-1/seq-3/1","M'Comb City","MI","sn85034447",-82.958895,42.700963,900,"N","1890s","Mississippi","South","South"
"41",63,8254,"The Mankato free press ","Nashville, TN","5/6/1892","Mankato, Minnesota",-93.9994,44.163578,"Mankato","MN",1892,"seq-6","https://articleextractor.org/pages/8254/mnhi_fencing_ver02/sn83016589/1892/05/06/ed-1/seq-6/1","Nashville","TN","sn83016589",-86.781602,36.162664,672,"N","1890s","Minnesota","North Central","North"
"42",65,8256,NA,"Dunsmir, CA","10/15/1892","NA, Wisconsin",-88.78787,43.78444,NA,"WI",1892,"seq-2","https://articleextractor.org/pages/8256/whi_jane_ver01/sn86086770/1892/10/15/ed-1/seq-2/1","Dunsmir","CA","sn86086770",-122.271953,41.208209,1705,"N","1890s","Wisconsin","North Central","North"
"43",67,8257,NA,"Savannah, GA","2/27/1886","NA, Tennessee",-86.58045,35.517491,NA,"TN",1886,"seq-4","https://articleextractor.org/pages/8257/tu_gordon_ver01/sn93063896/1886/02/27/ed-1/seq-4/1","Savannah","GA","sn93063896",-81.091203,32.080899,395,"N","1880s","Tennessee","South","South"
"44",68,8258,"People's voice ","Albuquerque, NM","5/12/1893","Wellington, Kansas",-97.37171,37.2653,"Wellington","KS",1893,"seq-6","https://articleextractor.org/pages/8258/khi_goodnow_ver01/sn85032801/1893/05/12/ed-1/seq-6/1","Albuquerque","NM","sn85032801",-106.650422,35.084386,539,"N","1890s","Kansas","North Central","North"
"45",69,8259,NA,"Roanoke, VA","2/18/1892","NA, Missouri",101.75239,20.92408,NA,"MO",1892,"seq-4","https://articleextractor.org/pages/8259/mohi_flash_ver02/sn89067453/1892/02/18/ed-1/seq-4/1","Roanoke","VA","sn89067453",-79.941427,37.27097,8424,"N","1890s","Missouri","North Central","Border"
"46",70,8260,NA,"Richland, VA","2/9/1893","NA, Missouri",101.75239,20.92408,NA,"MO",1893,"seq-4","https://articleextractor.org/pages/8260/mohi_flash_ver02/sn89067453/1893/02/09/ed-1/seq-4/1","Richland","VA","sn89067453",-81.793727,37.093169,8431,"N","1890s","Missouri","North Central","Border"
"47",71,8262,NA,"Monroeville, AL","10/22/1892","NA, Missouri",101.75239,20.92408,NA,"MO",1892,"seq-1","https://articleextractor.org/pages/8262/mohi_jerome_ver01/sn89066818/1892/10/22/ed-1/seq-1/1","Monroeville","AL","sn89066818",-87.324708,31.52794,8773,"N","1890s","Missouri","North Central","Border"
"48",73,8263,NA,"Mobile, AL","5/28/1892","NA, North Dakota",-101.00201,47.551493,NA,"ND",1892,"seq-2","https://articleextractor.org/pages/8263/ndhi_lawrencium_ver01/sn88076679/1892/05/28/ed-1/seq-2/1","Mobile","AL","sn88076679",-88.039891,30.695366,1354,"N","1890s","North Dakota","North Central","Misc"
"49",77,8268,NA,"Mound City, IL","6/28/1884","NA, Illinois",-89.39853,40.633125,NA,"IL",1884,"seq-3","https://articleextractor.org/pages/8268/iune_archives_ver01/sn87082573/1884/06/28/ed-1/seq-3/1","Mound City","IL","sn87082573",-89.162573,37.085329,246,"Y","1880s","Illinois","North Central","North"
"50",78,8269,"The morning news ","cincinnati, OH","3/21/1890","Savannah, Georgia",-81.0912,32.080899,"Savannah","GA",1890,"seq-2","https://articleextractor.org/pages/8269/gu_columbo_ver02/sn86063034/1890/03/21/ed-1/seq-2/1","cincinnati","OH","sn86063034",-84.51202,39.103118,522,"N","1890s","Georgia","South","South"
"51",81,8276,NA,"Platte City, MO","8/6/1909","NA, South Dakota",-99.90181,43.969515,NA,"SD",1909,"seq-6","https://articleextractor.org/pages/8276/sdhi_dagger_ver01/sn96090259/1909/08/06/ed-1/seq-6/1","Platte City","MO","sn96090259",-94.782461,39.370277,414,"N","1900s","South Dakota","North Central","Misc"
"52",82,8278,"The morning news ","Charleston, WV","10/18/1887","Savannah, Georgia",-81.0912,32.080899,"Savannah","GA",1887,"seq-1","https://articleextractor.org/pages/8278/gu_bobbsey_ver02/sn86063034/1887/10/18/ed-1/seq-1/1","Charleston","WV","sn86063034",-81.632623,38.34982,435,"N","1880s","Georgia","South","South"
"53",83,8280,"St. Paul daily globe ","Jersey City, NJ","8/15/1887","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN",1887,"seq-2","https://articleextractor.org/pages/8280/mnhi_sebeka_ver01/sn90059522/1887/08/15/ed-1/seq-2/1","Jersey City","NJ","sn90059522",-74.043143,40.717754,1007,"N","1880s","Minnesota","North Central","North"
"54",84,8288,NA,"Fort Scott, KS","1/26/1900","NA, Michigan",-85.60236,44.314844,NA,"MI",1900,"seq-11","https://articleextractor.org/pages/8288/mimtptc_baldwin_ver01/sn98066406/1900/01/26/ed-1/seq-11/1","Fort Scott","KS","sn98066406",-94.708295,37.839763,652,"N","1900s","Michigan","North Central","North"
"55",85,8289,NA,"Butte, MT","8/1/1917","NA, Mississippi",-89.39853,32.354668,NA,"MS",1917,"seq-1","https://articleextractor.org/pages/8289/msar_damask_ver02/sn89065008/1917/08/01/ed-1/seq-1/1","Butte","MT","sn89065008",-112.534778,46.003823,1549,"N","1910s","Mississippi","South","South"
"56",86,8290,"The news & observer ","Henderson, TN","4/19/1899","Raleigh, North Carolina",-78.63818,35.77959,"Raleigh","NC",1899,"seq-2","https://articleextractor.org/pages/8290/ncu_ford_ver02/sn85042104/1899/04/19/ed-1/seq-2/1","Henderson","TN","sn85042104",-88.641441,35.439244,563,"N","1890s","North Carolina","South","South"
"57",87,8292,NA,"Whitney, OR","7/17/1914","NA, Oregon",-120.5542,43.804133,NA,"OR",1914,"seq-1","https://articleextractor.org/pages/8292/oru_bobolink_ver01/sn99063957/1914/07/17/ed-1/seq-1/1","Whitney","OR","sn99063957",NA,NA,NA,"Y","1910s","Oregon","West","North"
"58",88,8298,"The Iowa plain dealer ","Eagle Pass, TX","10/1/1891","New Oregon, Iowa",-92.12538,43.290468,"New Oregon","IA",1891,"seq-1","https://articleextractor.org/pages/8298/iahi_lapras_ver01/sn83025167/1891/10/01/ed-1/seq-1/1","Eagle Pass","TX","sn83025167",-100.499521,28.709143,1111,"N","1890s","Iowa","North Central","North"
"59",90,8301,NA,"West Denver, CO","5/5/1891","NA, Illinois",-89.39853,40.633125,NA,"IL",1891,"seq-4","https://articleextractor.org/pages/8301/iune_deckle_ver01/sn92053945/1891/05/05/ed-1/seq-4/1","West Denver","CO","sn92053945",-105.024788,39.711047,827,"N","1890s","Illinois","North Central","North"
"60",91,8303,"The Globe-republican ","Kenton, OR","4/15/1891","Dodge City, Kansas",-100.01708,37.752798,"Dodge City","KS",1891,"seq-2","https://articleextractor.org/pages/8303/khi_cessna_ver01/sn84029853/1891/04/15/ed-1/seq-2/1","Kenton","OR","sn84029853",-83.609652,40.646998,901,"N","1890s","Kansas","North Central","North"
"61",92,8303,"The Globe-republican ","Kenton, OH","4/15/1891","Dodge City, Kansas",-100.01708,37.752798,"Dodge City","KS",1891,"seq-2","https://articleextractor.org/pages/8303/khi_cessna_ver01/sn84029853/1891/04/15/ed-1/seq-2/1","Kenton","OH","sn84029853",-83.609652,40.646998,901,"N","1890s","Kansas","North Central","North"
"62",95,8304,NA,"Nebraska City, NE","7/28/1887","NA, Nebraska",-99.90181,41.492537,NA,"NE",1887,"seq-4","https://articleextractor.org/pages/8304/nbu_chadron_ver01/sn99021999/1887/07/28/ed-1/seq-4/1","Nebraska City","NE","sn99021999",-95.859362,40.676575,218,"Y","1880s","Nebraska","North Central","Misc"
"63",96,8305,"New Ulm weekly review ","New Orleans, LA","3/18/1891","New Ulm, Minnesota",-94.4593,44.314439,"New Ulm","MN",1891,"seq-3","https://articleextractor.org/pages/8305/mnhi_audi_ver01/sn89064939/1891/03/18/ed-1/seq-3/1","New Orleans","LA","sn89064939",-90.071532,29.951066,1022,"N","1890s","Minnesota","North Central","North"
"64",98,8308,"Grant County herald ","Preston, WI","12/5/1889","Lancaster, Wisconsin",-90.71068,42.84749,"Lancaster","WI",1889,"seq-4","https://articleextractor.org/pages/8308/whi_jyme_ver01/sn85033133/1889/12/05/ed-1/seq-4/1","Preston","WI","sn85033133",-89.794289,44.038771,94,"Y","1880s","Wisconsin","North Central","North"
"65",99,8314,"The Chanute times ","Somerset County, MD","6/18/1897","Chanute, Kansas",-95.4572,37.679214,"Chanute","KS",1897,"seq-2","https://articleextractor.org/pages/8314/khi_isabel_ver01/sn85030529/1897/06/18/ed-1/seq-2/2","Somerset County","MD","sn85030529",-75.853395,38.086233,1069,"N","1890s","Kansas","North Central","North"
"66",100,8316,NA,"Valentine, NE","6/21/1911","NA, Virginia",-57.59659,-25.309101,NA,"VA",1911,"seq-6","https://articleextractor.org/pages/8316/vi_oldenburg_ver01/sn90052005/1911/06/21/ed-1/seq-6/1","Valentine","NE","sn90052005",-100.550967,42.872783,5451,"N","1910s","Virginia","South","South"
"67",101,8321,NA,"Kidder County, ND","11/13/1912","NA, Minnesota",-94.6859,46.729553,NA,"MN",1912,"seq-3","https://articleextractor.org/pages/8321/mnhi_buick_ver01/sn89081128/1912/11/13/ed-1/seq-3/3","Kidder County","ND","sn89081128",-99.750686,46.876631,240,"N","1910s","Minnesota","North Central","North"
"68",102,8325,"River Falls journal ","Black Hills, NA","1/5/1888","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1888,"seq-2","https://articleextractor.org/pages/8325/whi_galky_ver01/sn85033255/1888/01/05/ed-1/seq-2/3","Black Hills",NA,"sn85033255",-103.771769,43.993948,553,"N","1880s","Wisconsin","North Central","North"
"69",103,8325,"River Falls journal ","St Francis County, AK","1/5/1888","River Falls, Wisconsin",-92.62381,44.861356,"River Falls","WI",1888,"seq-2","https://articleextractor.org/pages/8325/whi_galky_ver01/sn85033255/1888/01/05/ed-1/seq-2/3","St Francis County","AK","sn85033255",-90.715275,34.992653,690,"N","1880s","Wisconsin","North Central","North"
"70",116,8327,"The Salt Lake herald ","Milton, WV","11/2/1889","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT",1889,"seq-1","https://articleextractor.org/pages/8327/uuml_griffith_ver01/sn85058130/1889/11/02/ed-1/seq-1/2","Milton","WV","sn85058130",-82.132364,38.434532,1587,"N","1880s","Utah","West","Misc"
"71",117,8328,"The Globe-republican ","Little Rock, AK","8/18/1898","Dodge City, Kansas",-100.01708,37.752798,"Dodge City","KS",1898,"seq-7","https://articleextractor.org/pages/8328/khi_cessna_ver01/sn84029853/1898/08/18/ed-1/seq-7/2","Little Rock","AK","sn84029853",-92.288016,34.744462,479,"N","1890s","Kansas","North Central","North"
"72",118,8329,"The herald ","Lafayette County, MS","5/21/1895","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1895,"seq-1","https://articleextractor.org/pages/8329/curiv_ogilby_ver01/sn85042461/1895/05/21/ed-1/seq-1/2","Lafayette County","MS","sn85042461",-89.474218,34.418699,1640,"N","1890s","California","West","North"
"73",119,8330,"The daily morning Astorian ","Owensboro, KY","12/20/1889","Astoria, Oregon",-123.83125,46.187884,"Astoria","OR",1889,"seq-3","https://articleextractor.org/pages/8330/oru_hufnagel_ver02/sn96061150/1889/12/20/ed-1/seq-3/2","Owensboro","KY","sn96061150",-87.111168,37.771907,1956,"N","1880s","Oregon","West","North"
"74",120,8331,"Democratic Northwest ","Columbia, LA","5/30/1889","Napoleon, Ohio",-84.12522,41.392273,"Napoleon","OH",1889,"seq-7","https://articleextractor.org/pages/8331/ohi_ingstad_ver01/sn84028296/1889/05/30/ed-1/seq-7/3","Columbia","LA","sn84028296",-92.077913,32.105157,778,"N","1880s","Ohio","North Central","North"
"75",121,8332,"Evening journal ","Sumter, SC","1/9/1897","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1897,"seq-6","https://articleextractor.org/pages/8332/deu_bear_ver01/sn85042354/1897/01/09/ed-1/seq-6/2","Sumter","SC","sn85042354",-80.341469,33.920435,482,"N","1890s","Delaware","South","Border"
"76",123,8335,"The Wichita daily eagle ","Yreka, CA","8/27/1895","Wichita, Kansas",-97.33005,37.687176,"Wichita","KS",1895,"seq-1","https://articleextractor.org/pages/8335/khi_jennison_ver01/sn82014635/1895/08/27/ed-1/seq-1/4","Yreka","CA","sn82014635",-122.634471,41.735419,1370,"N","1890s","Kansas","North Central","North"
"77",124,8336,"Daily inter mountain ","Leavenworth, KS","1/15/1901","Butte, Montana",-112.53478,46.003823,"Butte","MT",1901,"seq-8","https://articleextractor.org/pages/8336/mthi_kestrel_ver02/sn85053057/1901/01/15/ed-1/seq-8/2","Leavenworth","KS","sn85053057",-94.927937,39.310352,1005,"N","1900s","Montana","West","Misc"
"78",126,8339,"The Paducah daily sun ","Owensboro, KY","12/28/1896","Paducah, Kentucky",-88.60005,37.083389,"Paducah","KY",1896,"seq-2","https://articleextractor.org/pages/8339/kyu_batman_ver01/sn85052118/1896/12/28/ed-1/seq-2/2","Owensboro","KY","sn85052118",-87.111168,37.771907,95,"Y","1890s","Kentucky","South","Border"
"79",128,8340,NA,"DeKalb County, TN","8/8/1901","NA, South Dakota",-99.90181,43.969515,NA,"SD",1901,"seq-2","https://articleextractor.org/pages/8340/sdhi_jicama_ver01/sn98062949/1901/08/08/ed-1/seq-2/3","DeKalb County","TN","sn98062949",-85.80766,35.972836,927,"N","1900s","South Dakota","North Central","Misc"
"80",129,8342,"The Manitowoc pilot ","Glencoe, MN","9/10/1896","Manitowoc, Wisconsin",-87.65758,44.088606,"Manitowoc","WI",1896,"seq-3","https://articleextractor.org/pages/8342/whi_grace_ver01/sn85033139/1896/09/10/ed-1/seq-3/3","Glencoe","MN","sn85033139",-94.151752,44.769044,324,"N","1890s","Wisconsin","North Central","North"
