"","X","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"6394",34832,34832,34832,54541,"1911-02-07","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54541/ncu_hawk_ver02/sn84020731/1911/02/07/ed-1/seq-3/0?user_id=6","sn84020731",1911,2,7,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6395",34833,34833,34833,54542,"1910-06-30","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54542/ncu_hawk_ver02/sn84020731/1910/06/30/ed-1/seq-2/0?user_id=6","sn84020731",1910,6,30,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6396",34834,34834,34834,54543,"1911-04-04","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54543/ncu_hawk_ver02/sn84020731/1911/04/04/ed-1/seq-4/0?user_id=6","sn84020731",1911,4,4,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6397",34835,34835,34835,54544,"1911-04-11","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54544/ncu_hawk_ver02/sn84020731/1911/04/11/ed-1/seq-1/0?user_id=6","sn84020731",1911,4,11,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6398",34836,34836,34836,54547,"1911-01-05","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54547/ncu_hawk_ver02/sn84020731/1911/01/05/ed-1/seq-6/0?user_id=6","sn84020731",1911,1,5,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6399",34837,34837,34837,54548,"1911-08-18","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54548/ncu_hawk_ver02/sn84020731/1911/08/18/ed-1/seq-4/0?user_id=6","sn84020731",1911,8,18,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6400",34838,34838,34838,54549,"1911-10-20","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54549/ncu_hawk_ver02/sn84020731/1911/10/20/ed-1/seq-1/0?user_id=6","sn84020731",1911,10,20,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6401",34839,34839,34839,54550,"1911-10-13","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54550/ncu_hawk_ver02/sn84020731/1911/10/13/ed-1/seq-1/0?user_id=6","sn84020731",1911,10,13,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6402",34840,34840,34840,54551,"1891-04-15","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54551/ncu_hawk_ver02/sn84020731/1891/04/15/ed-1/seq-5/0?user_id=6","sn84020731",1891,4,15,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6403",34841,34841,34841,54552,"1911-05-23","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54552/ncu_hawk_ver02/sn84020731/1911/05/23/ed-1/seq-1/0?user_id=6","sn84020731",1911,5,23,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6404",34842,34842,34842,54553,"1911-03-31","The Durham recorder","Durham","N.C","https://articleextractor.org/pages//54553/ncu_hawk_ver02/sn84020731/1911/03/31/ed-1/seq-2/0?user_id=6","sn84020731",1911,3,31,"ed-1","Durham,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6405",34843,34843,34843,54564,"1867-07-03","The Hillsborough recorder","Hillsborough","N","https://articleextractor.org/pages//54564/ncu_hawk_ver02/sn84026472/1867/07/03/ed-1/seq-1/0?user_id=6","sn84026472",1867,7,3,"ed-1","Hillsborough,  N",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6406",34844,34844,34844,54566,"1871-11-29","The Hillsborough recorder","Hillsborough","N","https://articleextractor.org/pages//54566/ncu_hawk_ver02/sn84026472/1871/11/29/ed-1/seq-3/0?user_id=6","sn84026472",1871,11,29,"ed-1","Hillsborough,  N",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6407",34845,34845,34845,54567,"1946-09-28","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54567/ncu_iris_ver01/sn78002169/1946/09/28/ed-1/seq-2/0?user_id=6","sn78002169",1946,9,28,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6408",34846,34846,34846,54568,"1947-03-11","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54568/ncu_iris_ver01/sn78002169/1947/03/11/ed-1/seq-3/0?user_id=6","sn78002169",1947,3,11,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6409",34847,34847,34847,54569,"1946-07-31","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54569/ncu_iris_ver01/sn78002169/1946/07/31/ed-1/seq-8/0?user_id=6","sn78002169",1946,7,31,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6410",34848,34848,34848,54570,"1946-08-06","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54570/ncu_iris_ver01/sn78002169/1946/08/06/ed-1/seq-8/0?user_id=6","sn78002169",1946,8,6,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6411",34849,34849,34849,54571,"1947-05-26","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54571/ncu_iris_ver01/sn78002169/1947/05/26/ed-1/seq-4/0?user_id=6","sn78002169",1947,5,26,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6412",34850,34850,34850,54572,"1947-05-25","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54572/ncu_iris_ver01/sn78002169/1947/05/25/ed-1/seq-11/0?user_id=6","sn78002169",1947,5,25,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6413",34851,34851,34851,54574,"1947-03-09","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54574/ncu_iris_ver01/sn78002169/1947/03/09/ed-1/seq-11/0?user_id=6","sn78002169",1947,3,9,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6414",34852,34852,34852,54575,"1878-05-29","The Hillsborough recorder","Hillsborough","N","https://articleextractor.org/pages//54575/ncu_hawk_ver02/sn84026472/1878/05/29/ed-1/seq-1/0?user_id=6","sn84026472",1878,5,29,"ed-1","Hillsborough,  N",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6415",34853,34853,34853,54576,"1946-12-02","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54576/ncu_iris_ver01/sn78002169/1946/12/02/ed-1/seq-7/0?user_id=6","sn78002169",1946,12,2,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6416",34854,34854,34854,54577,"1946-09-16","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54577/ncu_iris_ver01/sn78002169/1946/09/16/ed-1/seq-2/0?user_id=6","sn78002169",1946,9,16,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6417",34855,34855,34855,54578,"1947-07-06","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54578/ncu_iris_ver01/sn78002169/1947/07/06/ed-1/seq-6/0?user_id=6","sn78002169",1947,7,6,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6418",34856,34856,34856,54579,"1947-08-05","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54579/ncu_iris_ver01/sn78002169/1947/08/05/ed-1/seq-1/0?user_id=6","sn78002169",1947,8,5,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6419",34857,34857,34857,54580,"1947-09-15","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54580/ncu_iris_ver01/sn78002169/1947/09/15/ed-1/seq-2/0?user_id=6","sn78002169",1947,9,15,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6420",34858,34858,34858,54581,"1947-09-02","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54581/ncu_iris_ver01/sn78002169/1947/09/02/ed-1/seq-1/0?user_id=6","sn78002169",1947,9,2,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6421",34859,34859,34859,54582,"1947-08-04","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54582/ncu_iris_ver01/sn78002169/1947/08/04/ed-1/seq-8/0?user_id=6","sn78002169",1947,8,4,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6422",34860,34860,34860,54583,"1947-05-23","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54583/ncu_iris_ver01/sn78002169/1947/05/23/ed-1/seq-1/0?user_id=6","sn78002169",1947,5,23,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6423",34861,34861,34861,54584,"1947-05-25","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54584/ncu_iris_ver01/sn78002169/1947/05/25/ed-1/seq-1/0?user_id=6","sn78002169",1947,5,25,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
