word1,word2,n,decade
NA,NA,1924,1890
lynch,law,84,1890
negro,lynched,73,1890
grand,jury,69,1890
county,jail,58,1890
mob,lynched,47,1890
negroes,lynched,45,1890
white,woman,44,1890
murderer,lynched,37,1890
deputy,sheriff,34,1890
indian,territory,32,1890
st,louis,32,1890
negro,named,31,1890
negro,murderer,30,1890
white,girl,29,1890
memphis,tenn,28,1890
court,house,27,1890
mob,law,27,1890
wichita,falls,27,1890
mob,violence,26,1890
weeks,ago,26,1890
2,o'clock,25,1890
friday,night,25,1890
saturday,night,25,1890
days,ago,24,1890
11,o'clock,23,1890
yesterday,morning,23,1890
colored,people,22,1890
safe,keeping,22,1890
atlanta,ga,19,1890
judge,lynch,19,1890
criminal,assault,17,1890
kansas,city,17,1890
lynching,party,17,1890
public,sentiment,17,1890
race,war,17,1890
10,o'clock,16,1890
birmingham,ala,16,1890
monday,night,16,1890
north,carolina,16,1890
telegraph,pole,16,1890
1,o'clock,15,1890
criminally,assaulted,15,1890
negro,rapist,15,1890
south,carolina,15,1890
sunday,night,15,1890
ten,miles,15,1890
tenn,sept,15,1890
30,o'clock,14,1890
black,hawk,14,1890
bob,sims,14,1890
city,jail,14,1890
holy,track,14,1890
nashville,tenn,14,1890
omaha,neb,14,1890
tuesday,night,14,1890
white,people,14,1890
yesterday,afternoon,14,1890
3,o'clock,13,1890
9,o'clock,13,1890
months,ago,13,1890
negro,charged,13,1890
negro,woman,13,1890
richmond,va,13,1890
short,time,13,1890
week,ago,13,1890
found,dead,12,1890
infuriated,mob,12,1890
jail,yard,12,1890
roanoke,va,12,1890
rock,ark,12,1890
san,francisco,12,1890
sept,21,12,1890
white,caps,12,1890
day,night,11,1890
found,hanging,11,1890
henry,smith,11,1890
mob,hanged,11,1890
neb,oct,11,1890
river,county,11,1890
unknown,negro,11,1890
walla,walla,11,1890
wednesday,night,11,1890
brown,smith,10,1890
city,hall,10,1890
coroner's,jury,10,1890
district,attorney,10,1890
ga,april,10,1890
judge,cooper,10,1890
louisville,ky,10,1890
miles,east,10,1890
miles,south,10,1890
millington,tenn,10,1890
mob,broke,10,1890
negro,lynching,10,1890
pine,bluff,10,1890
ten,days,10,1890
tenn,oct,10,1890
tex,feb,10,1890
4,o'clock,9,1890
8,o'clock,9,1890
amite,city,9,1890
armed,mob,9,1890
aug,26,9,1890
circuit,court,9,1890
city,yesterday,9,1890
criminal,court,9,1890
criminally,assaulting,9,1890
day,morning,9,1890
dr,hodges,9,1890
en,route,9,1890
fatally,wounded,9,1890
feb,2,9,1890
fiend,lynched,9,1890
ga,july,9,1890
jackson,miss,9,1890
jail,door,9,1890
laid,bare,9,1890
louis,mo,9,1890
masked,mob,9,1890
miles,west,9,1890
miss,dec,9,1890
mob,gathered,9,1890
mob,lynches,9,1890
montgomery,ala,9,1890
national,bank,9,1890
oct,31,9,1890
port,jervis,9,1890
2,special,8,1890
5,o'clock,8,1890
arrested,charged,8,1890
bedford,ind,8,1890
body,hanging,8,1890
dick,williams,8,1890
fatally,injured,8,1890
found,guilty,8,1890
girl,named,8,1890
hundred,dollars,8,1890
jacksonville,fla,8,1890
jan,18,8,1890
john,johnson,8,1890
july,28,8,1890
knoxville,tenn,8,1890
ky,nov,8,1890
macon,ga,8,1890
march,14,8,1890
march,15,8,1890
mass,meeting,8,1890
mo,jan,8,1890
mo,june,8,1890
mob,hung,8,1890
mortally,wounded,8,1890
narrowly,escaped,8,1890
negro,confessed,8,1890
nov,4,8,1890
oct,10,8,1890
recent,lynching,8,1890
saturday,morning,8,1890
sept,20,8,1890
sioux,city,8,1890
sunday,morning,8,1890
supreme,court,8,1890
thursday,night,8,1890
twenty,miles,8,1890
va,sept,8,1890
wesson,miss,8,1890
white,women,8,1890
8,30,7,1890
alleged,negro,7,1890
american,citizens,7,1890
april,23,7,1890
april,27,7,1890
attempted,assault,7,1890
broad,st,7,1890
charles,lewis,7,1890
chattanooga,tenn,7,1890
city,marshal,7,1890
clarendon,ark,7,1890
