word1,word2,word3,n,decade
NA,NA,NA,727,1920
by,a,mob,55,1920
the,lynching,of,43,1920
a,mob,of,32,1920
one,of,the,30,1920
taken,from,the,30,1920
was,taken,from,27,1920
of,the,mob,25,1920
by,the,associated,23,1920
the,associated,press,20,1920
the,murder,of,20,1920
a,negro,was,19,1920
negro,was,lynched,17,1920
a,mob,and,16,1920
members,of,the,16,1920
in,connection,with,15,1920
in,the,south,15,1920
of,the,law,15,1920
the,county,jail,15,1920
from,the,jail,14,1920
hanged,to,a,14,1920
the,negro,was,14,1920
a,white,girl,13,1920
connection,with,the,13,1920
of,a,white,13,1920
a,white,man,12,1920
mob,and,hanged,12,1920
bent,on,lynching,11,1920
by,associated,press,11,1920
lynched,by,a,11,1920
negro,charged,with,11,1920
of,a,mob,11,1920
of,the,city,11,1920
said,to,have,11,1920
to,a,tree,11,1920
with,the,murder,11,1920
a,negro,who,10,1920
lynching,of,a,10,1920
lynching,of,three,10,1920
of,the,negro,10,1920
riddled,with,bullets,10,1920
the,united,states,10,1920
last,night,by,9,1920
night,by,a,9,1920
of,a,negro,9,1920
a,few,days,8,1920
a,white,woman,8,1920
from,the,county,8,1920
is,said,to,8,1920
member,of,the,8,1920
mob,and,lynched,8,1920
negro,is,lynched,8,1920
of,three,negroes,8,1920
on,a,white,8,1920
the,body,of,8,1920
the,killing,of,8,1920
a,charge,of,7,1920
a,mob,which,7,1920
advancement,of,colored,7,1920
an,attack,on,7,1920
and,hanged,to,7,1920
associated,negro,press,7,1920
association,for,the,7,1920
chief,of,police,7,1920
for,the,advancement,7,1920
had,been,arrested,7,1920
investigation,of,the,7,1920
mob,bent,on,7,1920
murder,of,a,7,1920
national,association,for,7,1920
negroes,were,lynched,7,1920
of,colored,people,7,1920
out,of,the,7,1920
shot,and,killed,7,1920
the,advancement,of,7,1920
the,body,was,7,1920
and,hanged,him,6,1920
as,a,result,6,1920
as,the,result,6,1920
at,the,stake,6,1920
charge,of,the,6,1920
from,a,tree,6,1920
had,to,be,6,1920
in,front,of,6,1920
in,order,to,6,1920
in,the,lynching,6,1920
in,the,united,6,1920
jail,by,a,6,1920
negro,who,was,6,1920
of,one,of,6,1920
of,the,south,6,1920
of,white,men,6,1920
on,a,charge,6,1920
that,he,would,6,1920
the,jail,at,6,1920
the,mob,which,6,1920
the,negro,is,6,1920
the,south,and,6,1920
the,state,of,6,1920
was,hanged,to,6,1920
was,lynched,by,6,1920
a,a,c,5,1920
a,c,p,5,1920
a,f,of,5,1920
a,negro,at,5,1920
a,negro,charged,5,1920
a,number,of,5,1920
a,posse,of,5,1920
a,telephone,pole,5,1920
assault,on,a,5,1920
attack,on,the,5,1920
body,was,found,5,1920
but,it,was,5,1920
charged,with,the,5,1920
duluth,minn,june,5,1920
early,this,morning,5,1920
f,of,l,5,1920
few,days,ago,5,1920
fort,worth,tex,5,1920
he,had,been,5,1920
here,last,night,5,1920
him,in,the,5,1920
him,to,a,5,1920
his,body,riddled,5,1920
in,the,face,5,1920
in,the,state,5,1920
ky,march,30,5,1920
lynching,a,negro,5,1920
mob,of,white,5,1920
n,a,a,5,1920
negro,accused,of,5,1920
negro,was,hanged,5,1920
negro,was,taken,5,1920
of,the,most,5,1920
of,the,murder,5,1920
of,the,negroes,5,1920
of,the,police,5,1920
officer,of,the,5,1920
part,in,the,5,1920
shot,to,death,5,1920
smith,a,negro,5,1920
taken,from,a,5,1920
taken,from,jail,5,1920
that,he,had,5,1920
that,he,was,5,1920
the,a,f,5,1920
the,black,workers,5,1920
the,mob,and,5,1920
the,mob,spirit,5,1920
the,mob,that,5,1920
the,national,association,5,1920
the,night,of,5,1920
the,result,of,5,1920
the,trial,of,5,1920
this,is,a,5,1920
to,the,mob,5,1920
today,by,a,5,1920
went,to,the,5,1920
were,taken,from,5,1920
where,he,was,5,1920
who,had,been,5,1920
a,mob,at,4,1920
a,result,of,4,1920
a,tree,and,4,1920
a,young,white,4,1920
according,to,the,4,1920
after,he,had,4,1920
alleged,to,have,4,1920
an,armed,mob,4,1920
and,herman,arthur,4,1920
and,it,is,4,1920
and,lynched,by,4,1920
and,the,negro,4,1920
arrival,of,the,4,1920
attack,on,a,4,1920
because,of,the,4,1920
body,riddled,with,4,1920
burned,at,the,4,1920
by,a,posse,4,1920
by,associated,negro,4,1920
by,the,negroes,4,1920
by,the,state,4,1920
change,of,venue,4,1920
county,jail,here,4,1920
during,the,last,4,1920
dyer,antilynching,bill,4,1920
early,today,by,4,1920
from,the,city,4,1920
front,of,the,4,1920
he,was,taken,4,1920
him,from,the,4,1920
him,on,a,4,1920
his,body,with,4,1920
his,wife,and,4,1920
in,the,court,4,1920
in,the,last,4,1920
is,not,a,4,1920
it,is,a,4,1920
it,was,said,4,1920
jail,here,last,4,1920
limb,of,a,4,1920
little,rock,ark,4,1920
lynched,in,the,4,1920
lynching,of,negro,4,1920
lynching,of,negroes,4,1920
lynching,of,william,4,1920
many,of,the,4,1920
members,of,a,4,1920
mob,hangs,negro,4,1920
mob,lynches,negro,4,1920
mob,of,200,4,1920
mob,of,about,4,1920
mob,to,lynch,4,1920
mob,which,lynched,4,1920
negro,from,the,4,1920
negro,had,been,4,1920
negro,lynched,by,4,1920
negro,who,shot,4,1920
negroes,in,the,4,1920
of,his,wife,4,1920
of,men,who,4,1920
of,the,country,4,1920
of,the,lynching,4,1920
of,the,national,4,1920
of,the,people,4,1920
of,the,republic,4,1920
of,the,state,4,1920
of,the,town,4,1920
of,the,united,4,1920
of,the,victims,4,1920
of,the,white,4,1920
of,two,negroes,4,1920
officers,of,the,4,1920
oklahoma,city,okla,4,1920
on,lynching,a,4,1920
part,of,the,4,1920
put,to,death,4,1920
result,of,the,4,1920
that,he,saw,4,1920
that,the,negro,4,1920
the,act,of,4,1920
the,citizens,of,4,1920
the,court,house,4,1920
the,crime,was,4,1920
the,hands,of,4,1920
the,jail,and,4,1920
the,jail,here,4,1920
the,law,is,4,1920
the,members,of,4,1920
the,negro,from,4,1920
the,negro,workers,4,1920
the,part,of,4,1920
the,right,of,4,1920
the,scene,of,4,1920
the,sheriff,and,4,1920
the,shooting,of,4,1920
there,is,a,4,1920
there,is,no,4,1920
to,have,been,4,1920
to,life,imprisonment,4,1920
to,lynch,the,4,1920
to,the,jail,4,1920
took,him,from,4,1920
two,negroes,lynched,4,1920
two,of,the,4,1920
was,accused,of,4,1920
was,charged,with,4,1920
was,lynched,near,4,1920
who,shot,and,4,1920
with,the,killing,4,1920
woodford,county,jail,4,1920
young,white,girl,4,1920
1,no,charge,3,1920
a,deputy,sheriff,3,1920
a,member,of,3,1920
a,mob,bent,3,1920
a,mob,from,3,1920
a,mob,to,3,1920
a,negro,from,3,1920
a,negro,in,3,1920
a,negro,woman,3,1920
a,part,of,3,1920
a,railroad,bridge,3,1920
a,report,of,3,1920
a,series,of,3,1920
according,to,reports,3,1920
action,of,the,3,1920
aged,white,woman,3,1920
an,attempt,to,3,1920
an,oak,tree,3,1920
and,i,was,3,1920
and,in,the,3,1920
and,in,this,3,1920
and,it,was,3,1920
and,lynched,him,3,1920
and,unborn,child,3,1920
as,her,assailant,3,1920
as,it,is,3,1920
as,one,of,3,1920
as,they,were,3,1920
as,to,the,3,1920
as,well,as,3,1920
asking,that,he,3,1920
assaulted,the,girl,3,1920
attacking,a,white,3,1920
attitude,of,the,3,1920
avenue,new,york,3,1920
baird,a,miner,3,1920
bar,when,she,3,1920
been,heard,of,3,1920
being,held,in,3,1920
believed,to,be,3,1920
body,with,bullets,3,1920
burned,to,death,3,1920
business,men,and,3,1920
by,a,deputy,3,1920
by,masked,men,3,1920
by,mob,of,3,1920
by,the,national,3,1920
by,the,senate,3,1920
by,united,press,3,1920
can,not,be,3,1920
charged,with,assault,3,1920
city,jail,at,3,1920
conspiracy,to,murder,3,1920
county,jail,and,3,1920
county,jail,at,3,1920
court,house,yard,3,1920
criminal,assault,and,3,1920
criminal,assault,on,3,1920
dealt,with,by,3,1920
during,the,night,3,1920
fayetteville,w,va,3,1920
for,an,assault,3,1920
for,making,it,3,1920
for,the,purpose,3,1920
from,a,telephone,3,1920
from,jail,by,3,1920
from,jail,here,3,1920
from,the,officers,3,1920
guarding,the,jail,3,1920
hands,of,a,3,1920
hanged,by,mob,3,1920
hanged,in,the,3,1920
hanging,from,a,3,1920
have,been,the,3,1920
he,is,said,3,1920
he,was,arrested,3,1920
he,will,be,3,1920
he,would,be,3,1920
held,in,connection,3,1920
held,in,jail,3,1920
here,and,lynched,3,1920
him,as,her,3,1920
him,from,a,3,1920
him,the,mob,3,1920
in,charge,of,3,1920
in,general,and,3,1920
in,pursuit,of,3,1920
in,the,case,3,1920
in,the,country,3,1920
in,the,past,3,1920
in,this,way,3,1920
in,which,he,3,1920
iron,bar,when,3,1920
irving,and,herman,3,1920
is,believed,that,3,1920
is,hanged,by,3,1920
is,taken,from,3,1920
is,to,be,3,1920
issued,by,the,3,1920
it,behind,an,3,1920
it,is,believed,3,1920
it,is,the,3,1920
it,was,not,3,1920
jail,last,night,3,1920
joe,jordan,negroes,3,1920
jordan,negroes,convicted,3,1920
lynched,by,mob,3,1920
lynched,in,this,3,1920
lynching,of,james,3,1920
lynching,of,the,3,1920
lynching,of,two,3,1920
lynching,of,will,3,1920
lynchings,in,the,3,1920
maysville,ky,march,3,1920
men,and,women,3,1920
miles,out,of,3,1920
miss,violet,wood,3,1920
mob,of,more,3,1920
mob,stormed,the,3,1920
mob,to,the,3,1920
murder,in,connection,3,1920
my,wife,and,3,1920
negro,murderer,lynched,3,1920
negro,was,arrested,3,1920
negro,who,had,3,1920
negroes,convicted,of,3,1920
nigger,and,lynch,3,1920
night,and,lynched,3,1920
of,more,than,3,1920
of,the,association,3,1920
of,the,black,3,1920
of,the,capitalist,3,1920
of,the,citizens,3,1920
of,the,county,3,1920
of,the,crime,3,1920
of,the,new,3,1920
of,the,officers,3,1920
of,the,southern,3,1920
of,the,strike,3,1920
of,this,country,3,1920
of,william,baird,3,1920
old,daughter,of,3,1920
on,behalf,of,3,1920
on,the,night,3,1920
only,a,few,3,1920
party,of,men,3,1920
per,cent,of,3,1920
presented,to,the,3,1920
prevented,the,lynching,3,1920
reason,for,making,3,1920
refused,to,surrender,3,1920
respect,to,the,3,1920
rev,e,r,3,1920
riddled,his,body,3,1920
said,that,the,3,1920
said,to,be,3,1920
scene,of,the,3,1920
section,of,the,3,1920
sent,to,the,3,1920
sheriff,and,his,3,1920
shots,were,fired,3,1920
some,of,the,3,1920
sought,to,lynch,3,1920
special,grand,jury,3,1920
special,to,the,3,1920
streets,of,the,3,1920
taken,by,a,3,1920
taken,to,a,3,1920
taking,him,to,3,1920
that,a,negro,3,1920
that,it,was,3,1920
the,associated,negro,3,1920
the,burning,of,3,1920
the,case,of,3,1920
the,city,jail,3,1920
the,crime,of,3,1920
the,death,of,3,1920
the,end,of,3,1920
the,face,of,3,1920
the,law,and,3,1920
the,mob,to,3,1920
the,mob,was,3,1920
the,negro,had,3,1920
the,next,day,3,1920
the,night,and,3,1920
the,north,and,3,1920
the,number,of,3,1920
the,officers,and,3,1920
the,people,of,3,1920
the,protection,of,3,1920
the,purpose,of,3,1920
the,ruling,class,3,1920
the,streets,of,3,1920
the,supreme,court,3,1920
the,white,and,3,1920
their,part,in,3,1920
there,was,a,3,1920
there,were,only,3,1920
threatened,to,lynch,3,1920
three,negroes,held,3,1920
to,a,railroad,3,1920
to,a,telegraph,3,1920
to,death,by,3,1920
to,get,the,3,1920
to,lynch,a,3,1920
to,lynch,him,3,1920
to,make,a,3,1920
to,take,a,3,1920
to,take,him,3,1920
to,the,supreme,3,1920
took,the,negro,3,1920
two,negroes,were,3,1920
two,white,men,3,1920
view,of,the,3,1920
w,va,july,3,1920
was,a,negro,3,1920
was,cut,down,3,1920
was,lynched,here,3,1920
was,one,of,3,1920
was,ready,to,3,1920
was,riddled,with,3,1920
was,sent,to,3,1920
were,fired,into,3,1920
were,lynched,in,3,1920
which,it,was,3,1920
white,girl,the,3,1920
white,girl,was,3,1920
who,was,being,3,1920
who,was,taken,3,1920
wife,and,unborn,3,1920
will,never,be,3,1920
william,baird,a,3,1920
with,respect,to,3,1920
with,the,lynching,3,1920
worth,tex,dec,3,1920
would,be,shot,3,1920
18,a,mob,2,1920
19,year,old,2,1920
19,years,old,2,1920
5,jim,reed,2,1920
a,17yearold,white,2,1920
a,bit,of,2,1920
a,certain,number,2,1920
a,change,of,2,1920
a,conquering,purpose,2,1920
a,criminal,assault,2,1920
a,farmer,was,2,1920
a,few,more,2,1920
a,grand,jury,2,1920
a,group,of,2,1920
a,law,in,2,1920
a,life,sentence,2,1920
a,lynching,mob,2,1920
a,lynching,the,2,1920
a,masked,mob,2,1920
a,mob,hanged,2,1920
a,mob,last,2,1920
a,mob,near,2,1920
a,mob,stormed,2,1920
a,mob,the,2,1920
a,mob,yesterday,2,1920
a,negro,accused,2,1920
a,negro,and,2,1920
a,negro,farm,2,1920
a,negro,mob,2,1920
a,negro,near,2,1920
a,negro,prisoner,2,1920
a,negro,strikebreaker,2,1920
a,negro,to,2,1920
a,negro,voting,2,1920
a,planter,near,2,1920
a,sheriff,in,2,1920
a,telegraph,pole,2,1920
a,telephone,message,2,1920
a,white,postal,2,1920
a,young,negro,2,1920
according,to,a,2,1920
accused,of,the,2,1920
accused,of,two,2,1920
action,in,using,2,1920
address,in,which,2,1920
affidavit,by,j,2,1920
after,head,had,2,1920
after,the,lynching,2,1920
against,mob,law,2,1920
against,the,preacher,2,1920
all,sections,of,2,1920
alleged,attempt,to,2,1920
alleged,crime,and,2,1920
