word1,word2,word3,n,decade
NA,NA,NA,3664,1900
by,a,mob,221,1900
of,the,mob,144,1900
one,of,the,126,1900
the,lynching,of,111,1900
a,mob,of,108,1900
a,negro,was,103,1900
the,negro,was,99,1900
the,murder,of,87,1900
of,the,negro,86,1900
was,taken,from,85,1900
negro,was,lynched,84,1900
taken,from,the,82,1900
to,a,tree,69,1900
a,white,man,67,1900
from,the,jail,66,1900
a,negro,who,58,1900
lynching,of,the,51,1900
of,a,negro,51,1900
of,the,state,50,1900
members,of,the,49,1900
of,the,lynching,48,1900
was,lynched,at,48,1900
and,it,is,47,1900
the,county,jail,47,1900
of,the,jail,46,1900
a,mob,and,44,1900
the,jail,and,44,1900
the,scene,of,44,1900
of,the,city,43,1900
a,mob,at,41,1900
a,white,woman,41,1900
taken,from,jail,41,1900
the,jail,at,41,1900
to,the,jail,41,1900
the,united,states,40,1900
lynched,by,a,39,1900
and,he,was,38,1900
hanged,to,a,38,1900
him,to,a,38,1900
in,the,south,38,1900
part,of,the,38,1900
the,mob,and,38,1900
the,sheriff,and,38,1900
a,crowd,of,37,1900
lynching,of,a,37,1900
negroes,were,lynched,37,1900
out,of,the,37,1900
shot,to,death,37,1900
shot,and,killed,36,1900
the,negro,who,36,1900
went,to,the,36,1900
of,the,negroes,35,1900
by,the,mob,34,1900
it,is,said,34,1900
of,a,mob,34,1900
for,the,murder,33,1900
he,had,been,33,1900
the,hands,of,33,1900
of,the,law,32,1900
scene,of,the,32,1900
that,he,had,32,1900
that,he,was,32,1900
the,mob,was,31,1900
a,number,of,30,1900
charged,with,the,30,1900
is,said,to,30,1900
of,the,town,30,1900
of,the,united,30,1900
at,the,stake,29,1900
by,a,negro,29,1900
riddled,with,bullets,29,1900
the,mob,that,29,1900
the,result,of,29,1900
to,the,scene,29,1900
negro,who,was,28,1900
taken,to,the,28,1900
the,body,of,28,1900
to,have,been,28,1900
and,his,body,27,1900
and,the,negro,27,1900
mob,and,lynched,27,1900
the,mob,which,27,1900
the,supreme,court,27,1900
was,taken,to,27,1900
as,soon,as,26,1900
hanged,him,to,26,1900
he,was,taken,26,1900
the,associated,press,26,1900
the,home,of,26,1900
the,part,of,26,1900
the,people,of,26,1900
to,lynch,him,26,1900
in,the,lynching,25,1900
of,the,most,25,1900
said,to,have,25,1900
the,grand,jury,25,1900
the,negro,had,25,1900
by,the,associated,24,1900
in,the,vicinity,24,1900
mob,that,lynched,24,1900
negro,was,taken,24,1900
night,by,a,24,1900
of,the,men,24,1900
