decade,total_count,southern_count,northern_count,western_count
1900,823,269,61,156
1890,772,223,59,115
1910,283,107,26,77
1850,282,143,38,4
1880,229,91,11,35
1920,117,40,5,36
1930,67,14,1,6
1840,63,25,15,NA
1870,59,24,11,6
1940,38,5,1,3
1860,27,12,3,1
1830,18,14,3,NA
1960,3,NA,NA,1
1800,2,2,NA,NA
