word1,word2,n,decade
NA,NA,1018,1910
county,jail,65,1910
negro,lynched,51,1910
mob,lynches,47,1910
mob,violence,46,1910
white,woman,44,1910
negroes,lynched,37,1910
court,house,35,1910
grand,jury,33,1910
lynch,law,31,1910
white,girl,31,1910
colored,people,28,1910
lynches,negro,28,1910
negro,charged,23,1910
mayor,smith,22,1910
mob,hangs,20,1910
negro,accused,19,1910
mob,lynched,18,1910
deputy,sheriff,17,1910
mob,bent,17,1910
montgomery,ala,17,1910
atlanta,ga,16,1910
life,imprisonment,16,1910
telephone,pole,15,1910
weeks,ago,15,1910
white,women,15,1910
ga,aug,14,1910
hangs,negro,14,1910
national,association,14,1910
race,riot,14,1910
carl,etherington,13,1910
criminal,assault,13,1910
leo,frank,13,1910
safe,keeping,13,1910
saturday,night,13,1910
sept,29,13,1910
william,brown,13,1910
city,jail,12,1910
fort,smith,12,1910
georgia,mob,12,1910
judge,morris,12,1910
months,ago,12,1910
omaha,neb,12,1910
south,carolina,12,1910
st,louis,12,1910
telegraph,pole,12,1910
united,press,12,1910
days,ago,11,1910
lynch,negro,11,1910
mob,rule,11,1910
neb,sept,11,1910
body,riddled,10,1910
capital,punishment,10,1910
lynch,mayor,10,1910
president,wilson,10,1910
sept,30,10,1910
antisaloon,league,9,1910
city,ark,9,1910
county,officials,9,1910
ga,june,9,1910
mayor,ed,9,1910
miles,east,9,1910
mob,spirit,9,1910
negro,woman,9,1910
special,grand,9,1910
brown,negro,8,1910
circuit,court,8,1910
coroner's,jury,8,1910
forest,city,8,1910
friday,night,8,1910
lake,city,8,1910
late,yesterday,8,1910
lynched,negro,8,1910
martial,law,8,1910
miles,north,8,1910
negro,named,8,1910
nov,12,8,1910
sunday,night,8,1910
ala,sept,7,1910
aug,17,7,1910
county,farmer,7,1910
dead,body,7,1910
dec,18,7,1910
fatally,wounded,7,1910
federal,troops,7,1910
frank's,body,7,1910
ga,oct,7,1910
infuriated,mob,7,1910
january,1,7,1910
leased,wire,7,1910
lynching,party,7,1910
macon,ga,7,1910
mary,phagan,7,1910
mob,formed,7,1910
mob,threatens,7,1910
negro,prisoner,7,1910
okla,june,7,1910
oklahoma,city,7,1910
police,officers,7,1910
san,francisco,7,1910
short,time,7,1910
smith,ark,7,1910
trolley,pole,7,1910
white,farmer,7,1910
yesterday,afternoon,7,1910
yesterday,morning,7,1910
10,o'clock,6,1910
ala,dec,6,1910
ark,march,6,1910
aug,25,6,1910
charleston,mo,6,1910
city,hall,6,1910
collinsville,ill,6,1910
county,building,6,1910
county,court,6,1910
fort,worth,6,1910
found,hanging,6,1910
ga,feb,6,1910
hot,springs,6,1910
jail,door,6,1910
june,27,6,1910
mary,turner,6,1910
mob,action,6,1910
mob,demanded,6,1910
mob,dispersed,6,1910
mob,gathered,6,1910
mob,law,6,1910
murderer,lynched,6,1910
negro,convict,6,1910
negro,murderer,6,1910
news,service,6,1910
newspaper,union,6,1910
north,dakota,6,1910
press,leased,6,1910
race,riots,6,1910
race,war,6,1910
set,fire,6,1910
southern,people,6,1910
street,car,6,1910
sunday,morning,6,1910
supreme,court,6,1910
tuesday,night,6,1910
union,news,6,1910
western,newspaper,6,1910
white,people,6,1910
30,o'clock,5,1910
alabama,mob,5,1910
april,26,5,1910
april,5,5,1910
aug,18,5,1910
deputy,constable,5,1910
double,lynching,5,1910
en,route,5,1910
fla,nov,5,1910
ga,july,5,1910
governor,deneen,5,1910
governor,dorsey,5,1910
governor,harris,5,1910
heavy,guard,5,1910
jan,16,5,1910
july,10,5,1910
ky,oct,5,1910
la,aug,5,1910
legal,executions,5,1910
leonard,wood,5,1910
life,term,5,1910
lynching,bee,5,1910
masked,mob,5,1910
mayor,edward,5,1910
miss,june,5,1910
mob,attempted,5,1910
mob,hanged,5,1910
mob,reached,5,1910
mob,takes,5,1910
monroe,la,5,1910
muskogee,okla,5,1910
nashville,tenn,5,1910
negro,confessed,5,1910
negro,lynchings,5,1910
negro,preacher,5,1910
negro,prisoners,5,1910
negro,slayer,5,1910
negroes,accused,5,1910
negroes,charged,5,1910
oct,17,5,1910
oct,3,5,1910
omaha,sept,5,1910
paducah,ky,5,1910
president,taft,5,1910
prison,farm,5,1910
salt,lake,5,1910
san,antonio,5,1910
sheriff,eley,5,1910
shreveport,la,5,1910
st,petersburg,5,1910
texas,mob,5,1910
thursday,night,5,1910
william,fox,5,1910
11,o'clock,4,1910
3,o'clock,4,1910
4,o'clock,4,1910
aged,white,4,1910
ala,april,4,1910
american,lynching,4,1910
angry,citizens,4,1910
april,6,4,1910
ark,oct,4,1910
athens,ga,4,1910
attempted,assault,4,1910
attempted,criminal,4,1910
aug,31,4,1910
augusta,ga,4,1910
bad,wound,4,1910
birmingham,ala,4,1910
blue,overalls,4,1910
bodies,burned,4,1910
canfield,fisher,4,1910
carolina,1,4,1910
centralia,wash,4,1910
circuit,judge,4,1910
city,sun,4,1910
cole,blease,4,1910
commissioner,ringer,4,1910
county,authorities,4,1910
covington,county,4,1910
death,sentence,4,1910
death,sentences,4,1910
dec,10,4,1910
dec,19,4,1910
dec,27,4,1910
dec,31,4,1910
dorothy,canfield,4,1910
douglas,county,4,1910
drew,miss,4,1910
east,st,4,1910
ed,smith,4,1910
edgar,watts,4,1910
eleven,negroes,4,1910
elmore,county,4,1910
fair,trial,4,1910
feb,10,4,1910
federal,wireless,4,1910
found,guilty,4,1910
frank's,sentence,4,1910
friday,morning,4,1910
ga,dec,4,1910
ga,jan,4,1910
ga,sept,4,1910
garland,huff,4,1910
gov,slaton,4,1910
governor,blease,4,1910
governor,slaton,4,1910
guilty,parties,4,1910
habeas,corpus,4,1910
house,yard,4,1910
insulting,white,4,1910
jail,delivery,4,1910
jail,doors,4,1910
jasper,county,4,1910
july,26,4,1910
july,30,4,1910
july,6,4,1910
june,14,4,1910
june,17,4,1910
june,25,4,1910
ku,klux,4,1910
ky,jan,4,1910
late,hour,4,1910
league,detective,4,1910
lee,county,4,1910
life,sentence,4,1910
local,jail,4,1910
lowndes,counties,4,1910
lynched,negroes,4,1910
lynching,evil,4,1910
machine,guns,4,1910
madison,county,4,1910
main,street,4,1910
maj,gen,4,1910
march,18,4,1910
marietta,ga,4,1910
mass,meeting,4,1910
meridian,miss,4,1910
miles,west,4,1910
minor,injuries,4,1910
miss,sept,4,1910
mo,oct,4,1910
mob,composed,4,1910
mob,lynching,4,1910
moberly,mo,4,1910
mondak,mont,4,1910
mortally,wounded,4,1910
negro,assailant,4,1910
