word1,word2,n,decade
NA,NA,1925,1900
negro,lynched,116,1900
county,jail,71,1900
white,woman,68,1900
lynch,law,65,1900
grand,jury,59,1900
supreme,court,52,1900
negroes,lynched,50,1900
criminal,assault,43,1900
white,girl,42,1900
deputy,sheriff,38,1900
mob,lynched,35,1900
mob,lynches,35,1900
mob,violence,33,1900
negro,murderer,33,1900
saturday,night,33,1900
telegraph,pole,33,1900
court,house,29,1900
days,ago,28,1900
kansas,city,26,1900
negro,named,26,1900
sunday,night,26,1900
mob,hanged,22,1900
race,war,22,1900
death,penalty,20,1900
short,distance,20,1900
weeks,ago,20,1900
attempted,assault,19,1900
found,guilty,19,1900
months,ago,19,1900
murderer,lynched,19,1900
public,square,19,1900
sheriff,shipp,19,1900
monday,night,18,1900
public,sentiment,18,1900
safe,keeping,18,1900
city,jail,17,1900
mob,law,17,1900
negro,charged,17,1900
race,riot,17,1900
st,louis,17,1900
wilmington,del,17,1900
body,riddled,16,1900
mob,broke,16,1900
mob,hangs,16,1900
birmingham,ala,15,1900
city,mo,15,1900
friday,night,15,1900
ga,june,15,1900
montgomery,ala,15,1900
ten,days,15,1900
yesterday,morning,15,1900
chattanooga,tenn,14,1900
ed,johnson,14,1900
miles,south,14,1900
tuesday,night,14,1900
white,women,14,1900
2,o'clock,13,1900
4,o'clock,13,1900
8,o'clock,13,1900
april,7,13,1900
coroner's,jury,13,1900
criminally,assaulted,13,1900
negro,shot,13,1900
san,francisco,13,1900
shreveport,la,13,1900
thursday,night,13,1900
wednesday,night,13,1900
alleged,murderer,12,1900
del,june,12,1900
fatally,wounded,12,1900
infuriated,mob,12,1900
instantly,killed,12,1900
life,imprisonment,12,1900
mob,gathered,12,1900
north,carolina,12,1900
positively,identified,12,1900
recent,lynching,12,1900
santa,fe,12,1900
white,farmer,12,1900
10,o'clock,11,1900
ga,aug,11,1900
jail,door,11,1900
jan,11,11,1900
june,29,11,1900
lexington,mo,11,1900
march,26,11,1900
miles,west,11,1900
o'clock,tonight,11,1900
pleaded,guilty,11,1900
sheriff's,posse,11,1900
special,grand,11,1900
springfield,mo,11,1900
unknown,negro,11,1900
district,attorney,10,1900
found,dead,10,1900
george,white,10,1900
march,13,10,1900
miles,north,10,1900
mo,aug,10,1900
monroe,la,10,1900
national,guard,10,1900
negro,lynching,10,1900
nov,3,10,1900
police,force,10,1900
police,station,10,1900
railroad,station,10,1900
short,time,10,1900
water,tank,10,1900
white,people,10,1900
yesterday,afternoon,10,1900
30,o'clock,9,1900
ala,sept,9,1900
april,28,9,1900
circuit,court,9,1900
county,seat,9,1900
criminally,assault,9,1900
el,paso,9,1900
la,june,9,1900
lake,charles,9,1900
life,sentence,9,1900
lynches,negro,9,1900
mo,april,9,1900
mob,composed,9,1900
pierce,city,9,1900
prevent,lynching,9,1900
salt,lake,9,1900
south,carolina,9,1900
special,term,9,1900
sunday,morning,9,1900
tempted,assault,9,1900
1,30,8,1900
11,o'clock,8,1900
ala,aug,8,1900
assault,miss,8,1900
assaulted,miss,8,1900
cairo,ill,8,1900
city,marshal,8,1900
dead,body,8,1900
des,moines,8,1900
drug,store,8,1900
electric,light,8,1900
elmore,county,8,1900
fire,department,8,1900
huntsville,ala,8,1900
joplin,mo,8,1900
june,8,8,1900
main,street,8,1900
military,company,8,1900
miss,krause,8,1900
mob,leaders,8,1900
month,ago,8,1900
negroes,accused,8,1900
oct,2,8,1900
oct,21,8,1900
port,arthur,8,1900
richmond,va,8,1900
sabine,county,8,1900
san,antonio,8,1900
set,fire,8,1900
special,dispatch,8,1900
special,train,8,1900
springfield,ill,8,1900
street,car,8,1900
telephone,pole,8,1900
ten,miles,8,1900
week,ago,8,1900
1,o'clock,7,1900
7,o'clock,7,1900
ala,dec,7,1900
alleged,lynchers,7,1900
aug,17,7,1900
aug,18,7,1900
augusta,ga,7,1900
bad,joe,7,1900
calvin,hall,7,1900
chief,justice,7,1900
colored,charged,7,1900
fatally,shot,7,1900
friday,morning,7,1900
george,howard,7,1900
house,yard,7,1900
jackson,miss,7,1900
jail,doors,7,1900
june,9,7,1900
ky,oct,7,1900
lake,village,7,1900
lynching,bee,7,1900
lynching,occurred,7,1900
march,31,7,1900
mob,bent,7,1900
mob,dispersed,7,1900
nashville,tenn,7,1900
negro,assailant,7,1900
negro,prisoner,7,1900
negro's,body,7,1900
oct,7,7,1900
president,roosevelt,7,1900
prominent,farmer,7,1900
prosecuting,attorney,7,1900
republic,special,7,1900
saturday,morning,7,1900
savannah,ga,7,1900
springfield,ohio,7,1900
statesboro,ga,7,1900
terre,haute,7,1900
usual,crime,7,1900
3,o'clock,6,1900
5,o'clock,6,1900
9,o'clock,6,1900
ala,jan,6,1900
ala,june,6,1900
alleged,negro,6,1900
angry,mob,6,1900
atlanta,ga,6,1900
aug,15,6,1900
aug,20,6,1900
aug,23,6,1900
aug,8,6,1900
aug,9,6,1900
body,burned,6,1900
charles,salyers,6,1900
colonel,taylor,6,1900
colored,people,6,1900
county,court,6,1900
county,officials,6,1900
courthouse,yard,6,1900
crime,committed,6,1900
critical,condition,6,1900
day,night,6,1900
dec,29,6,1900
deputy,sheriffs,6,1900
district,court,6,1900
district,judge,6,1900
evansville,ind,6,1900
excitement,prevails,6,1900
farmer,living,6,1900
fort,scott,6,1900
godley,brothers,6,1900
gold,brick,6,1900
heavy,guard,6,1900
hempstead,tex,6,1900
hundred,yards,6,1900
intense,excitement,6,1900
jail,yard,6,1900
jan,15,6,1900
july,13,6,1900
july,18,6,1900
july,31,6,1900
june,20,6,1900
june,25,6,1900
june,3,6,1900
june,30,6,1900
leavenworth,kan,6,1900
left,hanging,6,1900
legal,execution,6,1900
light,pole,6,1900
local,option,6,1900
lynch,negro,6,1900
madrid,mo,6,1900
martial,law,6,1900
memphis,tenn,6,1900
miles,east,6,1900
miss,july,6,1900
miss,sept,6,1900
miss,wilson,6,1900
mobile,ala,6,1900
monday,morning,6,1900
murder,charge,6,1900
narrowly,averted,6,1900
narrowly,escaped,6,1900
negro,escaped,6,1900
negro,population,6,1900
negro,rapist,6,1900
negro,woman,6,1900
negroes,lynch,6,1900
nov,13,6,1900
orleans,la,6,1900
pine,bluff,6,1900
quickly,gathered,6,1900
race,prejudice,6,1900
rock,ark,6,1900
salyers,white,6,1900
school,teacher,6,1900
special,session,6,1900
speedy,trial,6,1900
tex,oct,6,1900
thousand,persons,6,1900
tiptonville,tenn,6,1900
town,marshal,6,1900
unknown,parties,6,1900
white,boy,6,1900
white,county,6,1900
wouldbe,lynchers,6,1900
york,aug,6,1900
12,30,5,1900
15,o'clock,5,1900
2,30,5,1900
500,shots,5,1900
9,20,5,1900
ala,nov,5,1900
ala,oct,5,1900
alleged,murderers,5,1900
amer,green,5,1900
ark,sept,5,1900
assaulting,miss,5,1900
aug,30,5,1900
aug,31,5,1900
aug,7,5,1900
badly,hurt,5,1900
badly,injured,5,1900
badly,wounded,5,1900
belleville,ill,5,1900
broad,daylight,5,1900
brown,colored,5,1900
clark,alias,5,1900
colored,woman,5,1900
constitutional,convention,5,1900
cotton,gin,5,1900
county,attorney,5,1900
county,authorities,5,1900
county,va,5,1900
court,yesterday,5,1900
crowd,gathered,5,1900
daily,alaskan,5,1900
day,morning,5,1900
dec,21,5,1900
dec,28,5,1900
double,murder,5,1900
en,route,5,1900
fatally,injured,5,1900
federal,court,5,1900
foot,lake,5,1900
ga,march,5,1900
girls,aged,5,1900
gov,folk,5,1900
governor,candler,5,1900
governor,heyward,5,1900
hamilton,county,5,1900
hangs,negro,5,1900
harry,gates,5,1900
haute,ind,5,1900
hawkinsville,ga,5,1900
heavily,armed,5,1900
highly,respected,5,1900
house,square,5,1900
hundred,shots,5,1900
jack,harris,5,1900
jan,27,5,1900
john,porter,5,1900
john,strength,5,1900
judge,clark,5,1900
judge,lynch,5,1900
judge,mcreynolds,5,1900
judge,thompson,5,1900
july,20,5,1900
july,24,5,1900
june,18,5,1900
june,22,5,1900
killed,policeman,5,1900
ky,feb,5,1900
ky,july,5,1900
la,grande,5,1900
la,junta,5,1900
lake,city,5,1900
laramie,wyo,5,1900
late,yesterday,5,1900
left,dangling,5,1900
lincoln,county,5,1900
local,authorities,5,1900
lynch,john,5,1900
lynch,negroes,5,1900
lynched,tonight,5,1900
march,11,5,1900
march,19,5,1900
march,20,5,1900
marion,perry,5,1900
mass,meeting,5,1900
meridian,miss,5,1900
methodist,church,5,1900
miss,jan,5,1900
mob,assembled,5,1900
mob,attacked,5,1900
mob,attempts,5,1900
