word1,word2,n,decade
murderer,brown,3,1880
named,ben,3,1880
named,henry,3,1880
named,james,3,1880
named,rigney,3,1880
narrowly,escaped,3,1880
negro,boy,3,1880
negro,climbed,3,1880
negro,county,3,1880
negro,soldier,3,1880
neighbor's,house,3,1880
nov,29,3,1880
o'clock,samon,3,1880
o'clock,yesterday,3,1880
october,2,3,1880
opera,house,3,1880
pa,dec,3,1880
parties,unknown,3,1880
pickens,county,3,1880
port,gibson,3,1880
preston,johnson,3,1880
prisoner,named,3,1880
prominent,farmer,3,1880
public,feeling,3,1880
public,sentiment,3,1880
puss,kirkpatrick,3,1880
ravisher,lynched,3,1880
resisting,arrest,3,1880
returned,home,3,1880
richard,hickey,3,1880
robert,briggs,3,1880
santa,fe,3,1880
saturday,morning,3,1880
sept,25,3,1880
shook,hands,3,1880
shooting,fatally,3,1880
sioux,falls,3,1880
slaughter,house,3,1880
slightly,wounded,3,1880
south,carolina,3,1880
steel,cage,3,1880
taylor,killed,3,1880
tenn,july,3,1880
thursday,morning,3,1880
tom,smith,3,1880
twelve,o'clock,3,1880
union,yesterday,3,1880
vigilance,committee,3,1880
washington,county,3,1880
weak,minded,3,1880
winchester,rifles,3,1880
winona,miss,3,1880
wyoming,territory,3,1880
wytheville,va,3,1880
yazoo,city,3,1880
york,april,3,1880
york,herald,3,1880
1,10,2,1880
10,cents,2,1880
111,east,2,1880
12,45,2,1880
15,george,2,1880
1856,hill,2,1880
1858,hill,2,1880
1872,hill,2,1880
2,18,2,1880
2,20,2,1880
2,223,2,1880
213,west,2,1880
27,special,2,1880
28th,ult,2,1880
3,o'clock,2,1880
30th,ult,2,1880
34,georgia,2,1880
4,o'clock,2,1880
5,o'clock,2,1880
"50,000",paid,2,1880
500,strong,2,1880
6,30,2,1880
6,o'clock,2,1880
600,citizens,2,1880
66,votes,2,1880
6yearold,girl,2,1880
75,4,2,1880
8,30,2,1880
8th,inst,2,1880
adams,station,2,1880
advocated,lynching,2,1880
aged,11,2,1880
aged,19,2,1880
aged,22,2,1880
aged,60,2,1880
aged,colored,2,1880
aged,fourteen,2,1880
aged,mother,2,1880
aged,white,2,1880
ago,told,2,1880
aim,shot,2,1880
ala,jan,2,1880
ala,january,2,1880
albert,williams,2,1880
amite,county,2,1880
andrew,grandstaff,2,1880
angry,crowd,2,1880
antagonized,norwood,2,1880
april,16,2,1880
april,19,2,1880
april,22,2,1880
april,24,2,1880
arbor,invective,2,1880
ark,april,2,1880
armed,force,2,1880
armed,party,2,1880
army,detectives,2,1880
arrested,sus,2,1880
arthur,delegates,2,1880
arthur,foster,2,1880
ashland,ky,2,1880
assaulted,miss,2,1880
asylum,choice,2,1880
asylum,hill,2,1880
atlanta,buttonholing,2,1880
atlanta,hotel,2,1880
atrocious,murder,2,1880
attempted,murder,2,1880
audience,toombs,2,1880
aug,16,2,1880
august,1,2,1880
august,13,2,1880
authorities,refused,2,1880
avoid,exposure,2,1880
awaiting,trial,2,1880
bad,blood,2,1880
badly,decomposed,2,1880
badly,defeated,2,1880
badly,riddled,2,1880
badly,wounded,2,1880
bailey,colored,2,1880
bailiff,webb,2,1880
bald,knob,2,1880
bald,knobbers,2,1880
baldwin,county,2,1880
ballot,box,2,1880
barber,brothers,2,1880
barbers,killed,2,1880
ben,brookins,2,1880
ben,hill,2,1880
bill,choice,2,1880
bill,creating,2,1880
bill,kin,2,1880
bitterest,opponent,2,1880
black,brute,2,1880
black,fiend,2,1880
black,leaned,2,1880
black,pat,2,1880
blood,reached,2,1880
boarding,house,2,1880
body,aged,2,1880
boone,county,2,1880
bore,evidence,2,1880
boy,aged,2,1880
boy,murderer,2,1880
boys,aged,2,1880
boys,carpenter,2,1880
boys,drank,2,1880
brain,aged,2,1880
braswell,colored,2,1880
briggs,colored,2,1880
brookins,immediately,2,1880
brother,john,2,1880
brother,named,2,1880
brother's,wife,2,1880
brothers,iowa,2,1880
brought,suit,2,1880
brutal,crime,2,1880
brutal,outrage,2,1880
brutally,outraged,2,1880
bullock,fell,2,1880
bullock,fled,2,1880
burke,county,2,1880
bush,arbor,2,1880
business,relations,2,1880
butterchoice,creamery,2,1880
buy,beer,2,1880
canadian,pacific,2,1880
canon,city,2,1880
carbonic,acid,2,1880
caused,considerable,2,1880
celebrated,note,2,1880
celebrated,speech,2,1880
cell,floor,2,1880
cell,keys,2,1880
central,railroad,2,1880
chambers,county,2,1880
charles,gleason,2,1880
charles,stevens,2,1880
charles,thomas,2,1880
charlie,ross,2,1880
chas,smith,2,1880
cherokee,ala,2,1880
chicago,august,2,1880
chicago,times,2,1880
chicago,tribune,2,1880
chicken,stealing,2,1880
chinese,boy,2,1880
choice,defied,2,1880
choice,walked,2,1880
chose,hanging,2,1880
cincinnati,dec,2,1880
cincinnati,june,2,1880
circumstantial,evidence,2,1880
city,editor,2,1880
city,neb,2,1880
city,nov,2,1880
city,special,2,1880
city,yesterday,2,1880
civilized,society,2,1880
clay,hill,2,1880
close,scrutiny,2,1880
closely,contested,2,1880
clothes,line,2,1880
col,dec,2,1880
cold,blooded,2,1880
coldblooded,murder,2,1880
coleman,colored,2,1880
collier,fired,2,1880
colored,boy,2,1880
colored,exconvict,2,1880
colored,murderer,2,1880
colored,preacher,2,1880
colored,rapist,2,1880
colored,wo,2,1880
commit,outrages,2,1880
coney,island,2,1880
considerable,excitement,2,1880
contested,warner,2,1880
convention,broke,2,1880
conventional,masks,2,1880
convicted,hill,2,1880
corinne,haynes,2,1880
correspondent,relates,2,1880
cotton,claim,2,1880
cotton,house,2,1880
cotton,rope,2,1880
country,road,2,1880
county,8,2,1880
county,alabama,2,1880
county,ark,2,1880
county,iowa,2,1880
county,kansas,2,1880
county,mo,2,1880
county,mob,2,1880
county,recently,2,1880
county,sheriff,2,1880
county,tenn,2,1880
county,toombs,2,1880
court,bailiff,2,1880
court,yard,2,1880
credible,information,2,1880
criminal,classes,2,1880
criminal,law,2,1880
criminally,assaulting,2,1880
critical,condition,2,1880
crook,county,2,1880
crowd,assembled,2,1880
crowd,pushed,2,1880
crowded,upstairs,2,1880
crowdthe,woman,2,1880
crying,lynch,2,1880
customs,guards,2,1880
daily,lynching,2,1880
dak,aug,2,1880
dan,lucas,2,1880
daniel,frazer,2,1880
davies,hall,2,1880
day,morning,2,1880
day,night,2,1880
days,balloting,2,1880
days,previous,2,1880
deadwood,dak,2,1880
debauch,choice,2,1880
dec,1,2,1880
dec,4,2,1880
dec,5,2,1880
dec,9,2,1880
decide,impartially,2,1880
decomposed,body,2,1880
deepest,black,2,1880
defend,william,2,1880
demanded,admittance,2,1880
democratic,majority,2,1880
democratic,party,2,1880
dense,woods,2,1880
departed,leaving,2,1880
depot,building,2,1880
derer,escaped,2,1880
desperado,captured,2,1880
determined,manner,2,1880
died,ransom,2,1880
died,suddenly,2,1880
died,thursday,2,1880
discharged,graham,2,1880
disorderly,conduct,2,1880
distance,ahead,2,1880
district,court,2,1880
district,hill,2,1880
divorced,wife,2,1880
doc,jones,2,1880
doctor,ned,2,1880
doctor,resumed,2,1880
dooly,county,2,1880
door,graham,2,1880
dozen,masked,2,1880
drank,carpenter,2,1880
drop,manna,2,1880
drunken,row,2,1880
duff,jr,2,1880
dying,condition,2,1880
ear,spare,2,1880
east,lake,2,1880
ed,maxwell,2,1880
elect,hill,2,1880
electoral,ticket,2,1880
elgin,texas,2,1880
emily,brown,2,1880
employed,detectives,2,1880
enterprising,southern,2,1880
eph,jones,2,1880
eral,gordon,2,1880
est,warning,2,1880
estimable,lady,2,1880
evening,crowds,2,1880
exasperated,people,2,1880
exchief,justice,2,1880
excited,manner,2,1880
excitement,runs,2,1880
exciting,chase,2,1880
executive,committee,2,1880
express,wagon,2,1880
exquisite,strains,2,1880
family,named,2,1880
famous,bill,2,1880
farm,hand,2,1880
farmer,named,2,1880
father,confessed,2,1880
father,mother,2,1880
fayette,county,2,1880
february,1,2,1880
february,4,2,1880
federal,court,2,1880
federal,courts,2,1880
fell,asleep,2,1880
fell,gasped,2,1880
fiend,foster,2,1880
fiendish,crime,2,1880
fiery,invective,2,1880
fifteen,minutes,2,1880
fifty,masked,2,1880
finally,settled,2,1880
finest,philippics,2,1880
fired,thirteen,2,1880
fleming,county,2,1880
flemingsburg,ky,2,1880
florence,ala,2,1880
flour,merchant,2,1880
fond,du,2,1880
ford's,opera,2,1880
formal,meeting,2,1880
fort,meade,2,1880
forty,masked,2,1880
forty,negroes,2,1880
foul,play,2,1880
found,dead,2,1880
found,lying,2,1880
fourth,congressional,2,1880
fourth,victim,2,1880
frank,morgan,2,1880
franklin,kentucky,2,1880
freeman,recently,2,1880
freight,train,2,1880
friday,april,2,1880
front,door,2,1880
front,street,2,1880
front,window,2,1880
ga,august,2,1880
ga,friday,2,1880
gallatin,tenn,2,1880
garden,city,2,1880
gen,lee,2,1880
george,duff,2,1880
george,ellis,2,1880
george,taafe,2,1880
georgia,held,2,1880
georgia,ut,2,1880
georgia's,lunatic,2,1880
ghastly,truth,2,1880
gibson,miss,2,1880
girl,15,2,1880
girl,aged,2,1880
girl's,father,2,1880
golden,medical,2,1880
gorham,corre,2,1880
gov,blackburn,2,1880
governor,foraker,2,1880
governor,gordon,2,1880
governor,offers,2,1880
governor,wilson,2,1880
grafton,moore's,2,1880
graham,cora,2,1880
graham's,lynching,2,1880
graham's,testimony,2,1880
graham's,wrath,2,1880
grand,forks,2,1880
graves,county,2,1880
gray,hair,2,1880
graysville,ga,2,1880
greenwood,miss,2,1880
grove,carrying,2,1880
guards,capt,2,1880
gulf,road,2,1880
half,fainting,2,1880
half,mile,2,1880
hancock,county,2,1880
hanging,ware,2,1880
hard,character,2,1880
hard,labor,2,1880
haskew,saturday,2,1880
heard,bullock,2,1880
heavy,sigh,2,1880
held,meetings,2,1880
helen,brewster,2,1880
helena,ark,2,1880
helpless,slaves,2,1880
henry,clay,2,1880
henry,george,2,1880
henry,pope,2,1880
henry,seraim,2,1880
henry,smith,2,1880
henry,thomas,2,1880
hill,colored,2,1880
hill,declared,2,1880
hill,gordon,2,1880
hill,model,2,1880
hill,spoke,2,1880
hill,wrote,2,1880
hill's,speech,2,1880
hiram,warner,2,1880
honorably,acquitted,2,1880
hopeless,hell,2,1880
horrible,manner,2,1880
horrible,murder,2,1880
hours,afterward,2,1880
house,committee,2,1880
howell,cobb,2,1880
howling,mob,2,1880
human,nature,2,1880
hundred,bales,2,1880
hundred,feet,2,1880
hung,george,2,1880
husband,lying,2,1880
husband,shot,2,1880
ill,october,2,1880
illegitimate,child,2,1880
immense,mob,2,1880
imprisoned,thirty,2,1880
incendiary,fires,2,1880
indiana,opposite,2,1880
indignation,prevails,2,1880
inquest,repaired,2,1880
instant,death,2,1880
intense,hill,2,1880
iowa,desperadoes,2,1880
irish,question,2,1880
jack,jones,2,1880
jackson,colored,2,1880
jackson,miss,2,1880
jacobs,oil,2,1880
