newspaper_state_code,coverage_count,lynching_count
WI,249,17
VA,117,81
WV,114,37
OH,113,79
KS,112,69
NC,107,62
MN,106,13
KY,94,140
IL,92,89
SD,89,3
MO,86,102
ND,84,5
MS,79,180
NY,76,23
UT,75,3
WA,74,9
NE,71,28
GA,66,201
MI,65,12
AL,62,137
CA,59,90
CT,57,2
AR,52,136
DE,52,21
LA,52,124
TX,51,119
VT,48,NA
CO,47,28
MD,46,55
IA,43,34
AZ,41,4
MT,35,14
IN,30,51
OK,29,37
TN,25,146
AK,24,2
ME,24,2
NJ,24,10
ID,23,6
FL,19,66
NM,19,6
NV,13,3
HI,12,NA
WY,11,19
OR,7,4
PA,5,23
SC,4,72
