word1,word2,word3,n,decade
NA,NA,NA,1740,1880
by,a,mob,109,1880
one,of,the,71,1880
a,mob,and,61,1880
was,taken,from,57,1880
to,a,tree,53,1880
the,lynching,of,51,1880
taken,from,the,44,1880
a,mob,of,43,1880
from,the,jail,42,1880
the,murder,of,42,1880
mob,and,hanged,40,1880
the,jail,at,37,1880
colored,was,lynched,33,1880
him,to,a,32,1880
taken,from,jail,32,1880
was,lynched,at,31,1880
a,few,days,30,1880
out,of,the,27,1880
shot,and,killed,27,1880
mob,and,lynched,26,1880
a,number,of,25,1880
of,the,lynching,24,1880
of,the,mob,24,1880
special,to,the,22,1880
that,he,had,22,1880
and,it,is,21,1880
the,jail,and,20,1880
to,have,been,20,1880
few,days,ago,19,1880
lynching,of,the,19,1880
part,of,the,19,1880
to,the,jail,19,1880
went,to,the,19,1880
a,party,of,18,1880
in,the,neighborhood,18,1880
negro,was,lynched,18,1880
of,the,law,18,1880
of,the,murder,18,1880
and,hanged,to,17,1880
and,he,was,17,1880
there,is,no,17,1880
were,taken,from,17,1880
for,the,murder,16,1880
hanged,to,a,16,1880
jail,by,a,16,1880
of,the,jail,16,1880
that,he,was,16,1880
the,united,states,16,1880
was,arrested,and,16,1880
years,of,age,16,1880
a,negro,was,15,1880
he,was,taken,15,1880
him,to,the,15,1880
lynching,of,a,15,1880
that,he,would,15,1880
the,body,of,15,1880
the,scene,of,15,1880
who,had,been,15,1880
a,body,of,14,1880
a,negro,named,14,1880
from,jail,at,14,1880
hanged,by,a,14,1880
hanged,him,to,14,1880
in,the,jail,14,1880
it,is,a,14,1880
last,night,and,14,1880
of,one,of,14,1880
of,the,city,14,1880
some,of,the,14,1880
the,death,of,14,1880
the,hands,of,14,1880
the,house,of,14,1880
was,found,in,14,1880
a,mob,at,13,1880
a,special,from,13,1880
a,tree,and,13,1880
as,soon,as,13,1880
at,the,time,13,1880
in,front,of,13,1880
limb,of,a,13,1880
lynched,by,a,13,1880
night,by,a,13,1880
the,people,of,13,1880
the,town,of,13,1880
to,lynch,the,13,1880
which,he,was,13,1880
a,crowd,of,12,1880
a,man,named,12,1880
and,hanged,him,12,1880
at,the,jail,12,1880
found,in,the,12,1880
from,jail,by,12,1880
front,of,the,12,1880
his,wife,and,12,1880
in,the,south,12,1880
in,the,vicinity,12,1880
it,was,the,12,1880
mob,and,hung,12,1880
of,a,tree,12,1880
of,the,most,12,1880
the,court,house,12,1880
to,lynch,him,12,1880
a,colored,man,11,1880
a,murderer,lynched,11,1880
and,hung,him,11,1880
charged,with,the,11,1880
is,said,to,11,1880
members,of,the,11,1880
of,a,negro,11,1880
of,masked,men,11,1880
of,the,negro,11,1880
the,man,who,11,1880
the,old,man,11,1880
to,be,a,11,1880
to,be,the,11,1880
would,have,been,11,1880
a,masked,mob,10,1880
but,it,is,10,1880
for,the,purpose,10,1880
he,had,been,10,1880
in,the,court,10,1880
last,night,a,10,1880
of,the,best,10,1880
riddled,with,bullets,10,1880
scene,of,the,10,1880
sent,to,the,10,1880
that,it,was,10,1880
the,house,and,10,1880
the,jail,by,10,1880
the,limb,of,10,1880
the,mob,then,10,1880
the,night,of,10,1880
the,purpose,of,10,1880
there,was,a,10,1880
to,the,house,10,1880
was,lynched,by,10,1880
a,band,of,9,1880
a,short,distance,9,1880
a,short,time,9,1880
as,well,as,9,1880
attempt,was,made,9,1880
by,a,negro,9,1880
doors,of,the,9,1880
him,in,the,9,1880
in,the,town,9,1880
it,is,not,9,1880
it,is,the,9,1880
morning,of,the,9,1880
murder,of,his,9,1880
murder,of,the,9,1880
night,of,the,9,1880
o'clock,this,morning,9,1880
of,his,wife,9,1880
of,the,house,9,1880
of,the,men,9,1880
parts,of,the,9,1880
said,to,be,9,1880
shot,to,death,9,1880
strung,him,up,9,1880
supposed,to,be,9,1880
the,body,was,9,1880
the,fact,that,9,1880
the,jail,the,9,1880
the,murder,was,9,1880
the,murderer,of,9,1880
the,negro,who,9,1880
the,prisoner,was,9,1880
the,sheriff,and,9,1880
the,wife,of,9,1880
up,to,a,9,1880
was,in,the,9,1880
was,lynched,in,9,1880
with,his,wife,9,1880
a,negro,lynched,8,1880
a,white,man,8,1880
account,of,the,8,1880
and,it,was,8,1880
as,to,the,8,1880
body,was,found,8,1880
but,he,was,8,1880
by,a,masked,8,1880
charleston,w,va,8,1880
end,of,the,8,1880
hands,of,the,8,1880
he,did,not,8,1880
he,was,arrested,8,1880
he,will,be,8,1880
his,neck,and,8,1880
in,a,few,8,1880
in,jail,at,8,1880
in,order,to,8,1880
in,the,same,8,1880
in,the,state,8,1880
in,which,he,8,1880
into,the,river,8,1880
it,is,said,8,1880
made,a,full,8,1880
men,and,hanged,8,1880
murder,in,the,8,1880
of,the,crime,8,1880
of,the,party,8,1880
of,the,town,8,1880
of,this,city,8,1880
said,to,have,8,1880
surrounded,the,jail,8,1880
taken,to,the,8,1880
the,end,of,8,1880
the,grand,jury,8,1880
the,jailer,and,8,1880
the,murderer,was,8,1880
the,presence,of,8,1880
the,rope,was,8,1880
there,was,no,8,1880
this,city,and,8,1880
to,the,woods,8,1880
tree,in,the,8,1880
was,taken,to,8,1880
where,he,was,8,1880
with,the,murder,8,1880
2,o'clock,this,7,1880
a,few,minutes,7,1880
a,full,confession,7,1880
a,mile,from,7,1880
a,negro,and,7,1880
a,negro,who,7,1880
a,white,girl,7,1880
an,attempt,to,7,1880
and,at,the,7,1880
and,his,son,7,1880
and,the,mob,7,1880
and,the,prisoner,7,1880
around,his,neck,7,1880
details,of,the,7,1880
from,jail,and,7,1880
from,the,house,7,1880
have,been,the,7,1880
him,he,was,7,1880
hung,him,to,7,1880
in,jail,and,7,1880
in,new,york,7,1880
in,the,city,7,1880
in,the,house,7,1880
in,the,presence,7,1880
it,will,be,7,1880
jail,last,night,7,1880
jail,on,the,7,1880
justice,of,the,7,1880
last,night,by,7,1880
murder,of,a,7,1880
night,a,mob,7,1880
night,and,lynched,7,1880
of,the,county,7,1880
of,the,murdered,7,1880
of,the,prisoner,7,1880
of,the,state,7,1880
on,account,of,7,1880
on,the,charge,7,1880
on,the,ground,7,1880
on,the,night,7,1880
out,by,a,7,1880
proceeded,to,the,7,1880
side,of,the,7,1880
taken,out,by,7,1880
that,the,mob,7,1880
the,charge,of,7,1880
the,doors,of,7,1880
the,mob,and,7,1880
the,morning,of,7,1880
the,negroes,were,7,1880
the,woods,and,7,1880
there,is,a,7,1880
this,morning,and,7,1880
to,the,globe,7,1880
two,of,the,7,1880
was,charged,with,7,1880
was,made,to,7,1880
was,taken,out,7,1880
will,be,lynched,7,1880
a,few,nights,6,1880
a,member,of,6,1880
a,mob,had,6,1880
a,negro,murderer,6,1880
a,tree,in,6,1880
a,white,woman,6,1880
a,young,lady,6,1880
about,the,jail,6,1880
and,hanged,the,6,1880
and,in,a,6,1880
and,instantly,killed,6,1880
and,killed,by,6,1880
and,lynched,him,6,1880
and,of,the,6,1880
and,on,the,6,1880
and,the,other,6,1880
as,he,was,6,1880
at,2,o'clock,6,1880
broke,into,the,6,1880
brother,of,the,6,1880
by,masked,men,6,1880
by,the,mob,6,1880
charleston,s,c,6,1880
down,the,doors,6,1880
during,the,night,6,1880
few,nights,ago,6,1880
had,been,sent,6,1880
half,a,mile,6,1880
hanging,to,a,6,1880
he,said,he,6,1880
he,was,a,6,1880
he,was,in,6,1880
he,was,strung,6,1880
he,would,have,6,1880
him,from,the,6,1880
him,up,to,6,1880
hung,to,a,6,1880
in,regard,to,6,1880
in,the,case,6,1880
in,the,lynching,6,1880
in,the,murder,6,1880
in,the,united,6,1880
in,this,city,6,1880
into,the,jail,6,1880
is,in,jail,6,1880
it,is,believed,6,1880
it,is,stated,6,1880
it,is,supposed,6,1880
jail,and,took,6,1880
jury,returned,a,6,1880
killed,by,a,6,1880
lodged,in,jail,6,1880
lynch,him,but,6,1880
man,who,had,6,1880
mob,of,colored,6,1880
mob,of,lynchers,6,1880
morning,by,a,6,1880
negroes,were,lynched,6,1880
of,colored,men,6,1880
of,his,crime,6,1880
of,the,girl,6,1880
of,the,peace,6,1880
old,man,was,6,1880
one,of,their,6,1880
one,of,them,6,1880
possession,of,the,6,1880
s,c,dec,6,1880
short,distance,from,6,1880
taken,out,and,6,1880
that,he,will,6,1880
that,she,had,6,1880
that,they,were,6,1880
the,fire,was,6,1880
the,jail,was,6,1880
the,jailer,was,6,1880
the,lynching,party,6,1880
the,negro,was,6,1880
the,outskirts,of,6,1880
the,people,in,6,1880
the,point,of,6,1880
the,prisoner,the,6,1880
the,result,of,6,1880
the,town,is,6,1880
the,white,caps,6,1880
there,will,be,6,1880
they,had,been,6,1880
this,is,the,6,1880
this,morning,a,6,1880
through,the,head,6,1880
time,he,was,6,1880
to,a,telegraph,6,1880
to,burn,the,6,1880
took,him,to,6,1880
w,va,may,6,1880
was,shot,and,6,1880
was,shot,dead,6,1880
were,arrested,and,6,1880
were,in,the,6,1880
who,a,few,6,1880
who,is,a,6,1880
who,murdered,a,6,1880
wife,of,a,6,1880
with,bullets,the,6,1880
a,charge,of,5,1880
a,daughter,of,5,1880
a,dispatch,from,5,1880
a,limb,of,5,1880
