...1,word1,word2,n,decade,x
84536,july,7members,1,1920,july 7members
84537,july,7the,1,1920,july 7the
84538,june,18,1,1920,june 18
84539,june,20,1,1920,june 20
84540,june,26a,1,1920,june 26a
84541,june,27,1,1920,june 27
84542,june,30,1,1920,june 30
84543,june,7th,1,1920,june 7th
84544,juneau,alaska,1,1920,juneau alaska
84545,jungletown,section,1,1920,jungletown section
84546,jurors,live,1,1920,jurors live
84547,jury,investigating,1,1920,jury investigating
84548,jury,recently,1,1920,jury recently
84549,jury,session,1,1920,jury session
84550,jury,spent,1,1920,jury spent
84551,jury,standing,1,1920,jury standing
84552,jury,tuesday,1,1920,jury tuesday
84553,jury's,report,1,1920,jury's report
84554,justice,wolbrecht,1,1920,justice wolbrecht
84555,justices,college,1,1920,justices college
84556,justly,incensed,1,1920,justly incensed
84557,kan,aug,1,1920,kan aug
84558,kan,sept,1,1920,kan sept
84559,kansas,1,1,1920,kansas 1
84560,kansas,railroad,1,1920,kansas railroad
84561,kansas,sheriff,1,1920,kansas sheriff
84562,kelly,shot,1,1920,kelly shot
84563,ken,girl,1,1920,ken girl
84564,kentuckians,attempt,1,1920,kentuckians attempt
84565,kentuckians,lynch,1,1920,kentuckians lynch
84566,kentucky,5,1,1920,kentucky 5
84567,kentucky,mob,1,1920,kentucky mob
84568,kentucky,national,1,1920,kentucky national
84569,kentucky,women,1,1920,kentucky women
84570,kerlin,author,1,1920,kerlin author
84571,kid,regan,1,1920,kid regan
84572,kidnaped,anticommunists,1,1920,kidnaped anticommunists
84573,kidnaped,negro,1,1920,kidnaped negro
84574,kill,mayor,1,1920,kill mayor
84575,killed,choate,1,1920,killed choate
84576,killed,city,1,1920,killed city
84577,killed,deputy,1,1920,killed deputy
84578,killed,farmer,1,1920,killed farmer
84579,killed,james,1,1920,killed james
84580,killed,mayor,1,1920,killed mayor
84581,killed,miss,1,1920,killed miss
84582,killed,philip,1,1920,killed philip
84583,killed,romey's,1,1920,killed romey's
84584,killing,highway,1,1920,killing highway
84585,killing,landlord,1,1920,killing landlord
84586,killing,mon,1,1920,killing mon
84587,killing,police,1,1920,killing police
84588,killing,sheriff,1,1920,killing sheriff
84589,killing,soldier,1,1920,killing soldier
84590,killing,white,1,1920,killing white
84591,kindly,transmitted,1,1920,kindly transmitted
84592,kirwin,tex,1,1920,kirwin tex
84593,kissimme,river,1,1920,kissimme river
84594,knocked,hit,1,1920,knocked hit
84595,knocked,unconscious,1,1920,knocked unconscious
84596,knoxville,tenn,1,1920,knoxville tenn
84597,ky,fired,1,1920,ky fired
84598,ky,oct,1,1920,ky oct
84599,ky.lucien,jenkins,1,1920,ky.lucien jenkins
84600,ky.richard,james,1,1920,ky.richard james
84601,l'echo,du,1,1920,l'echo du
84602,l'independence,belge,1,1920,l'independence belge
84603,la,grler,1,1920,la grler
84604,la,january,1,1920,la january
84605,la,july,1,1920,la july
84606,la,sept,1,1920,la sept
84607,la,yearold,1,1920,la yearold
84608,la.the,timely,1,1920,la.the timely
84609,labor,confer,1,1920,labor confer
84610,labor,defender,1,1920,labor defender
84611,labor,fakers,1,1920,labor fakers
84612,lacked,leadershit,1,1920,lacked leadershit
84613,lahey,testified,1,1920,lahey testified
84614,lakeland,prison,1,1920,lakeland prison
84615,lan,chemical,1,1920,lan chemical
84616,lancaster,alabama,1,1920,lancaster alabama
84617,lancaster,arraigned,1,1920,lancaster arraigned
84618,lancaster,trial,1,1920,lancaster trial
84619,lands,valued,1,1920,lands valued
84620,lanes,bridge,1,1920,lanes bridge
84621,lanesbridge,ga,1,1920,lanesbridge ga
84622,largest,dog,1,1920,largest dog
84623,lasting,benefit,1,1920,lasting benefit
84624,late,hour,1,1920,late hour
84625,late,monday,1,1920,late monday
84626,late,murderer's,1,1920,late murderer's
84627,late,soviet,1,1920,late soviet
84628,latin,america,1,1920,latin america
84629,latter's,renomination,1,1920,latter's renomination
84630,latter's,wife,1,1920,latter's wife
84631,laude,nethaway,1,1920,laude nethaway
84632,law,3,1,1920,law 3
84633,law,4,1,1920,law 4
84634,law,abiding,1,1920,law abiding
84635,law,deters,1,1920,law deters
84636,law,enforcement,1,1920,law enforcement
84637,law,extended,1,1920,law extended
84638,law,illustrates,1,1920,law illustrates
84639,law,nat,1,1920,law nat
84640,law,officers,1,1920,law officers
84641,law,practice,1,1920,law practice
84642,law,prevails,1,1920,law prevails
84643,law,represent,1,1920,law represent
84644,lawabiding,birmingham,1,1920,lawabiding birmingham
84645,lawabiding,character,1,1920,lawabiding character
84646,lawabiding,citizens,1,1920,lawabiding citizens
84647,lawful,authority,1,1920,lawful authority
84648,lawless,resort,1,1920,lawless resort
84649,lawless,spirit,1,1920,lawless spirit
84650,lawlessness,ceases,1,1920,lawlessness ceases
84651,lawlessness,reigns,1,1920,lawlessness reigns
84652,lawrenceville,jail,1,1920,lawrenceville jail
84653,lawyer,employed,1,1920,lawyer employed
84654,lawyer,franklin,1,1920,lawyer franklin
84655,lawyers,employed,1,1920,lawyers employed
84656,lawyers,schoo,1,1920,lawyers schoo
84657,lay,stretched,1,1920,lay stretched
84658,lay,wounded,1,1920,lay wounded
84659,le,neptune,1,1920,le neptune
84660,leader,asserts,1,1920,leader asserts
84661,leader,tells,1,1920,leader tells
84662,leading,baptist,1,1920,leading baptist
84663,leading,churchmen,1,1920,leading churchmen
84664,leading,mob,1,1920,leading mob
84665,leading,sixears,1,1920,leading sixears
84666,league,million,1,1920,league million
84667,leaves,4,1,1920,leaves 4
84668,lectively,condemn,1,1920,lectively condemn
84669,led,coast,1,1920,led coast
84670,led,society,1,1920,led society
84671,lee,attempted,1,1920,lee attempted
84672,lee,negro,1,1920,lee negro
84673,lee,public,1,1920,lee public
84674,lee's,letter,1,1920,lee's letter
84675,leeburg,tex,1,1920,leeburg tex
84676,left,grave,1,1920,left grave
84677,left,nauvoo,1,1920,left nauvoo
84678,left,rolling,1,1920,left rolling
84679,left,swinging,1,1920,left swinging
84680,left,unpunished,1,1920,left unpunished
84681,legal,committee,1,1920,legal committee
84682,legal,equality,1,1920,legal equality
84683,legal,proceedings,1,1920,legal proceedings
84684,legal,rights,1,1920,legal rights
84685,legett,negro,1,1920,legett negro
84686,leggett,negro,1,1920,leggett negro
84687,legion,ku,1,1920,legion ku
84688,legislation,abrogating,1,1920,legislation abrogating
84689,legislative,act,1,1920,legislative act
84690,legislative,committee's,1,1920,legislative committee's
84691,legitimate,publicity,1,1920,legitimate publicity
84692,legrande,lynching,1,1920,legrande lynching
84693,lem,declared,1,1920,lem declared
84694,lem,johnson,1,1920,lem johnson
84695,leo,gorgard,1,1920,leo gorgard
84696,leonard,utt,1,1920,leonard utt
84697,leonard,wood,1,1920,leonard wood
84698,leslie,leggett,1,1920,leslie leggett
84699,leslie,stegall,1,1920,leslie stegall
84700,letter,2,1,1920,letter 2
84701,letter,received,1,1920,letter received
84702,level,revenue,1,1920,level revenue
84703,lexington,grand,1,1920,lexington grand
84704,lexington,jail,1,1920,lexington jail
84705,lexington,jall,1,1920,lexington jall
84706,lexington,ky.lucien,1,1920,lexington ky.lucien
84707,lexington,neighwhen,1,1920,lexington neighwhen
84708,liberty,miss,1,1920,liberty miss
84709,liberty,regulated,1,1920,liberty regulated
84710,lice,barracks,1,1920,lice barracks
84711,lice,headquarters,1,1920,lice headquarters
84712,liceman,authorities,1,1920,liceman authorities
84713,license,plates,1,1920,license plates
84714,lieut,russell,1,1920,lieut russell
84715,life,ful,1,1920,life ful
84716,life,miserable,1,1920,life miserable
